t,backlog_bytes,backlog_pkts,dropped_total
1765629794.535887,0,0,0
1765629794.741920,596,2,0
1765629794.947139,1192,4,0
1765629795.150857,894,3,0
1765629795.356424,894,3,0
1765629795.562757,894,3,0
1765629795.768780,0,0,0
1765629795.975050,596,2,0
1765629796.179174,1192,4,0
1765629796.386358,1490,5,0
1765629796.593004,596,2,0
1765629796.799747,1192,4,0
1765629797.005412,1192,4,0
1765629797.211493,894,3,0
1765629797.418571,596,2,0
1765629797.624665,596,2,0
1765629797.831762,894,3,0
1765629798.038339,894,3,0
1765629798.245385,596,2,0
1765629798.451810,1192,4,0
1765629798.657853,894,3,0
1765629798.862262,298,1,0
1765629799.067981,1490,5,0
1765629799.274685,596,2,0
1765629799.480606,596,2,0
1765629799.686576,1192,4,0
1765629799.891192,1490,5,0
1765629800.097102,894,3,0
1765629800.304709,894,3,0
1765629800.511983,1192,4,0
1765629800.717999,0,0,0
1765629800.924386,298,1,0
1765629801.131088,1490,5,0
1765629801.337652,1192,4,0
1765629801.542860,2086,7,0
1765629801.748841,596,2,0
1765629801.953825,596,2,0
1765629802.158548,1192,4,0
1765629802.364168,298,1,0
1765629802.569761,1788,6,0
1765629802.775368,1192,4,0
1765629802.981498,596,2,0
1765629803.187940,596,2,0
1765629803.394333,0,0,0
1765629803.599793,1788,6,0
1765629803.805454,1192,4,0
1765629804.011188,894,3,0
1765629804.215955,894,3,0
1765629804.421399,596,2,0
1765629804.627257,894,3,0
1765629804.832201,298,1,0
1765629805.038580,298,1,0
1765629805.244138,894,3,0
1765629805.448946,894,3,0
1765629805.653561,596,2,0
1765629805.859856,596,2,0
1765629806.065355,1490,5,0
1765629806.271027,298,1,0
1765629806.477267,298,1,0
1765629806.683618,894,3,0
1765629806.889142,596,2,0
1765629807.094156,1192,4,0
1765629807.300112,298,1,0
1765629807.507162,894,3,0
1765629807.712129,596,2,0
1765629807.916765,1490,5,0
1765629808.122773,596,2,0
1765629808.328221,1192,4,0
1765629808.534132,894,3,0
1765629808.739666,894,3,0
1765629808.946016,596,2,0
1765629809.152188,894,3,0
1765629809.358388,1192,4,0
1765629809.564795,596,2,0
1765629809.770907,0,0,0
1765629809.977102,596,2,0
1765629810.182341,596,2,0
1765629810.387408,596,2,0
1765629810.595320,298,1,0
1765629810.801214,894,3,0
1765629811.007409,2384,8,0
1765629811.212681,298,1,0
1765629811.418515,298,1,0
1765629811.624926,894,3,0
1765629811.830571,2086,7,0
1765629812.036319,894,3,0
1765629812.241924,894,3,0
1765629812.447591,0,0,0
1765629812.652174,596,2,0
1765629812.857618,1192,4,0
1765629813.063499,894,3,0
1765629813.267158,894,3,0
1765629813.472311,1192,4,0
1765629813.677763,298,1,0
1765629813.882676,596,2,0
1765629814.089045,298,1,0
1765629814.294594,298,1,0
1765629814.500048,596,2,0
1765629814.705698,0,0,0
1765629814.911673,0,0,0
1765629815.116846,0,0,0
1765629815.322335,0,0,0
1765629815.528773,0,0,0
1765629815.734160,0,0,0
1765629815.938985,0,0,0
1765629816.144463,0,0,0
1765629816.350411,0,0,0
