t,backlog_bytes,backlog_pkts,dropped_total
1765645954.175163,0,0,0
1765645954.380918,1192,4,0
1765645954.586861,894,3,0
1765645954.790060,1192,4,0
1765645954.996495,1192,4,0
1765645955.202698,1788,6,0
1765645955.408125,1192,4,0
1765645955.613179,596,2,0
1765645955.818556,1490,5,0
1765645956.023554,894,3,0
1765645956.228353,1192,4,0
1765645956.433389,596,2,0
1765645956.639110,596,2,0
1765645956.844695,1192,4,0
1765645957.051043,1788,6,0
1765645957.255786,596,2,0
1765645957.460236,894,3,0
1765645957.666188,596,2,0
1765645957.872144,1192,4,0
1765645958.078563,1490,5,0
1765645958.284447,2086,7,0
1765645958.490170,298,1,0
1765645958.695360,1192,4,0
1765645958.901796,298,1,0
1765645959.108764,894,3,0
1765645959.317066,1490,5,0
1765645959.524338,298,1,0
1765645959.731644,298,1,0
1765645959.936613,894,3,0
1765645960.143357,1788,6,0
1765645960.348029,894,3,0
1765645960.554434,1192,4,0
1765645960.761000,596,2,0
1765645960.966981,1490,5,0
1765645961.172249,894,3,0
1765645961.376947,1192,4,0
1765645961.581685,1490,5,0
1765645961.786820,298,1,0
1765645961.992368,1490,5,0
1765645962.198478,596,2,0
1765645962.402787,1192,4,0
1765645962.608725,0,0,0
1765645962.814706,596,2,0
1765645963.021086,1192,4,0
1765645963.227454,1490,5,0
1765645963.432968,1490,5,0
1765645963.637586,1192,4,0
1765645963.843369,894,3,0
1765645964.048466,596,2,0
1765645964.253527,1192,4,0
1765645964.459454,1490,5,0
1765645964.664267,894,3,0
1765645964.869532,894,3,0
1765645965.074931,596,2,0
1765645965.279139,596,2,0
1765645965.484399,596,2,0
1765645965.689009,1192,4,0
1765645965.894590,0,0,0
1765645966.099787,596,2,0
1765645966.304064,1490,5,0
1765645966.508423,298,1,0
1765645966.713181,894,3,0
1765645966.918255,298,1,0
1765645967.124573,596,2,0
1765645967.329477,894,3,0
1765645967.535958,2086,7,0
1765645967.741964,298,1,0
1765645967.947242,894,3,0
1765645968.153156,2086,7,0
1765645968.359193,894,3,0
1765645968.563492,596,2,0
1765645968.771666,894,3,0
1765645968.978189,1490,5,0
1765645969.183020,1490,5,0
1765645969.388000,596,2,0
1765645969.592906,894,3,0
1765645969.797929,894,3,0
1765645970.003113,894,3,0
1765645970.209172,894,3,0
1765645970.413800,1192,4,0
1765645970.619149,1192,4,0
1765645970.824223,1490,5,0
1765645971.027785,1788,6,0
1765645971.233657,1490,5,0
1765645971.438133,894,3,0
1765645971.643738,1490,5,0
1765645971.848624,894,3,0
1765645972.054065,1192,4,0
1765645972.259829,596,2,0
1765645972.463798,1490,5,0
1765645972.669514,2086,7,0
1765645972.875154,596,2,0
1765645973.081294,1490,5,0
1765645973.287410,1192,4,0
1765645973.491881,894,3,0
1765645973.698069,894,3,0
1765645973.903224,596,2,0
1765645974.109928,894,3,0
1765645974.316514,0,0,0
1765645974.522334,0,0,0
1765645974.729470,0,0,0
1765645974.935918,0,0,0
1765645975.142143,0,0,0
1765645975.347697,0,0,0
1765645975.554257,0,0,0
1765645975.759284,0,0,0
1765645975.965825,0,0,0
1765645976.171309,0,0,0
