t_recv,seq,bytes,t_send,latency_ms
1765645954.287079,1,256,1765645954.265531,21.549
1765645954.287416,2,256,1765645954.265842,21.574
1765645954.287884,3,256,1765645954.265890,21.994
1765645954.290184,4,256,1765645954.269066,21.119
1765645954.292640,5,256,1765645954.271544,21.096
1765645954.300217,6,256,1765645954.278909,21.308
1765645954.300593,7,256,1765645954.279064,21.528
1765645954.301675,8,256,1765645954.280571,21.104
1765645954.302843,9,256,1765645954.281807,21.036
1765645954.304626,10,256,1765645954.283335,21.290
1765645954.310736,11,256,1765645954.289535,21.201
1765645954.311179,12,256,1765645954.290126,21.053
1765645954.312549,13,256,1765645954.291368,21.181
1765645954.315669,14,256,1765645954.294517,21.152
1765645954.316022,15,256,1765645954.294564,21.459
1765645954.321221,16,256,1765645954.300101,21.120
1765645954.322991,17,256,1765645954.301836,21.155
1765645954.324148,18,256,1765645954.303113,21.035
1765645954.326470,19,256,1765645954.305367,21.104
1765645954.333078,20,256,1765645954.311726,21.352
1765645954.334982,21,256,1765645954.313811,21.171
1765645954.341937,22,256,1765645954.320668,21.269
1765645954.347561,23,256,1765645954.326280,21.281
1765645954.348028,24,256,1765645954.327004,21.024
1765645954.351647,25,256,1765645954.330368,21.279
1765645954.354170,26,256,1765645954.333019,21.151
1765645954.356476,27,256,1765645954.335278,21.198
1765645954.356907,28,256,1765645954.335850,21.057
1765645954.357966,29,256,1765645954.336773,21.193
1765645954.360540,30,256,1765645954.339342,21.198
1765645954.361019,31,256,1765645954.339714,21.305
1765645954.363682,32,256,1765645954.342510,21.172
1765645954.371413,33,256,1765645954.350087,21.326
1765645954.374919,34,256,1765645954.353742,21.177
1765645954.377198,35,256,1765645954.355859,21.339
1765645954.380363,36,256,1765645954.359147,21.216
1765645954.381173,37,256,1765645954.360010,21.163
1765645954.381565,38,256,1765645954.360193,21.372
1765645954.389328,39,256,1765645954.368045,21.283
1765645954.399770,40,256,1765645954.378426,21.344
1765645954.400774,41,256,1765645954.379575,21.199
1765645954.410252,42,256,1765645954.388754,21.498
1765645954.412254,43,256,1765645954.391016,21.238
1765645954.425565,44,256,1765645954.403939,21.626
1765645954.426286,45,256,1765645954.404977,21.309
1765645954.431353,46,256,1765645954.409637,21.716
1765645954.431506,47,256,1765645954.409905,21.601
1765645954.438435,48,256,1765645954.417068,21.367
1765645954.444900,49,256,1765645954.423558,21.342
1765645954.445651,50,256,1765645954.424440,21.211
1765645954.446550,51,256,1765645954.425400,21.150
1765645954.448971,52,256,1765645954.427444,21.527
1765645954.449331,53,256,1765645954.427691,21.640
1765645954.449774,54,256,1765645954.428063,21.711
1765645954.452692,55,256,1765645954.431282,21.411
1765645954.455145,56,256,1765645954.433668,21.476
1765645954.455590,57,256,1765645954.433844,21.746
1765645954.456973,58,256,1765645954.435712,21.261
1765645954.463366,59,256,1765645954.442015,21.351
1765645954.472350,60,256,1765645954.450883,21.468
1765645954.473940,61,256,1765645954.452685,21.255
1765645954.481105,62,256,1765645954.459775,21.330
1765645954.482783,63,256,1765645954.461543,21.240
1765645954.487246,64,256,1765645954.465871,21.374
1765645954.495592,65,256,1765645954.474071,21.522
1765645954.503299,66,256,1765645954.482057,21.242
1765645954.511096,67,256,1765645954.489591,21.506
1765645954.511387,68,256,1765645954.490041,21.346
1765645954.514978,69,256,1765645954.493567,21.411
1765645954.522352,70,256,1765645954.501020,21.332
1765645954.532940,71,256,1765645954.511681,21.260
1765645954.538860,72,256,1765645954.517491,21.369
1765645954.539529,73,256,1765645954.518358,21.171
1765645954.539907,74,256,1765645954.518424,21.484
1765645954.541062,75,256,1765645954.519823,21.239
1765645954.550502,76,256,1765645954.529131,21.371
1765645954.552233,77,256,1765645954.530942,21.291
1765645954.552513,78,256,1765645954.531095,21.419
1765645954.553050,79,256,1765645954.531228,21.822
1765645954.553551,80,256,1765645954.531562,21.990
1765645954.555889,81,256,1765645954.534741,21.147
1765645954.563737,82,256,1765645954.542532,21.205
1765645954.564161,83,256,1765645954.542608,21.553
1765645954.573469,84,256,1765645954.552083,21.385
1765645954.573737,85,256,1765645954.552273,21.464
