t_send,seq,bytes
1765645954.265531,1,256
1765645954.265842,2,256
1765645954.265890,3,256
1765645954.269066,4,256
1765645954.271544,5,256
1765645954.278909,6,256
1765645954.279064,7,256
1765645954.280571,8,256
1765645954.281807,9,256
1765645954.283335,10,256
1765645954.289535,11,256
1765645954.290126,12,256
1765645954.291368,13,256
1765645954.294517,14,256
1765645954.294564,15,256
1765645954.300101,16,256
1765645954.301836,17,256
1765645954.303113,18,256
1765645954.305367,19,256
1765645954.311726,20,256
1765645954.313811,21,256
1765645954.320668,22,256
1765645954.326280,23,256
1765645954.327004,24,256
1765645954.330368,25,256
1765645954.333019,26,256
1765645954.335278,27,256
1765645954.335850,28,256
1765645954.336773,29,256
1765645954.339342,30,256
1765645954.339714,31,256
1765645954.342510,32,256
1765645954.350087,33,256
1765645954.353742,34,256
1765645954.355859,35,256
1765645954.359147,36,256
1765645954.360010,37,256
1765645954.360193,38,256
1765645954.368045,39,256
1765645954.378426,40,256
1765645954.379575,41,256
1765645954.388754,42,256
1765645954.391016,43,256
1765645954.403939,44,256
1765645954.404977,45,256
1765645954.409637,46,256
1765645954.409905,47,256
1765645954.417068,48,256
1765645954.423558,49,256
1765645954.424440,50,256
1765645954.425400,51,256
1765645954.427444,52,256
1765645954.427691,53,256
1765645954.428063,54,256
1765645954.431282,55,256
1765645954.433668,56,256
1765645954.433844,57,256
1765645954.435712,58,256
1765645954.442015,59,256
1765645954.450883,60,256
1765645954.452685,61,256
1765645954.459775,62,256
1765645954.461543,63,256
1765645954.465871,64,256
1765645954.474071,65,256
1765645954.482057,66,256
1765645954.489591,67,256
1765645954.490041,68,256
1765645954.493567,69,256
1765645954.501020,70,256
1765645954.511681,71,256
1765645954.517491,72,256
1765645954.518358,73,256
1765645954.518424,74,256
1765645954.519823,75,256
1765645954.529131,76,256
1765645954.530942,77,256
1765645954.531095,78,256
1765645954.531228,79,256
1765645954.531562,80,256
1765645954.534741,81,256
1765645954.542532,82,256
1765645954.542608,83,256
1765645954.552083,84,256
1765645954.552273,85,256
1765645954.553083,86,256
1765645954.555169,87,256
1765645954.556879,88,256
1765645954.569288,89,256
1765645954.571627,90,256
1765645954.571998,91,256
1765645954.575704,92,256
1765645954.576359,93,256
1765645954.580563,94,256
1765645954.583276,95,256
1765645954.586658,96,256
1765645954.587390,97,256
1765645954.588187,98,256
1765645954.592154,99,256
1765645954.593054,100,256
1765645954.596328,101,256
1765645954.597166,102,256
1765645954.601032,103,256
1765645954.603572,104,256
1765645954.613303,105,256
1765645954.622346,106,256
1765645954.629689,107,256
1765645954.640414,108,256
1765645954.648325,109,256
1765645954.649546,110,256
1765645954.654050,111,256
1765645954.654534,112,256
1765645954.663607,113,256
1765645954.664309,114,256
1765645954.670028,115,256
1765645954.670255,116,256
1765645954.671838,117,256
1765645954.674243,118,256
1765645954.677545,119,256
1765645954.683583,120,256
1765645954.684073,121,256
1765645954.684143,122,256
1765645954.687466,123,256
1765645954.695327,124,256
1765645954.701568,125,256
1765645954.704322,126,256
1765645954.704786,127,256
1765645954.710255,128,256
1765645954.712503,129,256
1765645954.716748,130,256
1765645954.721052,131,256
1765645954.727583,132,256
1765645954.731362,133,256
1765645954.734658,134,256
1765645954.741217,135,256
1765645954.742549,136,256
1765645954.743091,137,256
1765645954.744255,138,256
1765645954.746911,139,256
1765645954.747025,140,256
1765645954.756675,141,256
1765645954.760996,142,256
1765645954.762462,143,256
1765645954.766991,144,256
1765645954.769365,145,256
1765645954.774300,146,256
1765645954.777778,147,256
1765645954.777858,148,256
1765645954.801128,149,256
1765645954.802408,150,256
1765645954.803816,151,256
1765645954.804975,152,256
1765645954.805326,153,256
1765645954.810845,154,256
1765645954.816966,155,256
1765645954.818866,156,256
1765645954.819090,157,256
1765645954.819599,158,256
1765645954.820214,159,256
1765645954.820646,160,256
1765645954.821414,161,256
1765645954.829567,162,256
1765645954.829761,163,256
1765645954.830061,164,256
1765645954.830678,165,256
1765645954.830845,166,256
1765645954.846188,167,256
1765645954.848737,168,256
1765645954.851048,169,256
1765645954.851218,170,256
1765645954.854357,171,256
1765645954.854454,172,256
1765645954.861700,173,256
1765645954.861915,174,256
1765645954.866008,175,256
1765645954.867670,176,256
1765645954.874140,177,256
1765645954.874585,178,256
1765645954.876148,179,256
1765645954.876607,180,256
1765645954.878436,181,256
1765645954.880564,182,256
1765645954.885329,183,256
1765645954.885554,184,256
1765645954.886659,185,256
1765645954.888867,186,256
1765645954.892606,187,256
1765645954.895559,188,256
1765645954.898059,189,256
1765645954.899033,190,256
1765645954.902353,191,256
1765645954.903486,192,256
1765645954.910049,193,256
1765645954.920773,194,256
1765645954.922421,195,256
1765645954.924953,196,256
1765645954.925904,197,256
1765645954.928252,198,256
1765645954.932905,199,256
1765645954.940890,200,256
1765645954.941581,201,256
1765645954.943687,202,256
1765645954.947729,203,256
1765645954.950964,204,256
1765645954.955362,205,256
1765645954.959347,206,256
1765645954.964426,207,256
1765645954.965875,208,256
1765645954.966267,209,256
1765645954.967270,210,256
1765645954.979689,211,256
1765645954.981862,212,256
1765645954.983298,213,256
1765645954.983587,214,256
1765645954.985131,215,256
1765645954.992466,216,256
1765645954.993228,217,256
1765645954.993301,218,256
1765645954.997408,219,256
1765645955.000551,220,256
1765645955.002103,221,256
1765645955.014071,222,256
1765645955.016619,223,256
1765645955.016994,224,256
1765645955.022339,225,256
1765645955.024811,226,256
1765645955.026920,227,256
1765645955.027651,228,256
1765645955.028054,229,256
1765645955.030314,230,256
1765645955.030509,231,256
1765645955.033809,232,256
1765645955.034390,233,256
1765645955.034472,234,256
1765645955.049948,235,256
1765645955.052404,236,256
1765645955.055340,237,256
1765645955.056473,238,256
1765645955.056697,239,256
1765645955.058478,240,256
1765645955.064397,241,256
1765645955.064817,242,256
1765645955.065554,243,256
1765645955.065710,244,256
1765645955.067707,245,256
1765645955.076535,246,256
1765645955.088752,247,256
1765645955.091677,248,256
1765645955.092386,249,256
1765645955.097409,250,256
