t,backlog_bytes,backlog_pkts,dropped_total
0.006239,0,0,0
0.211853,0,0,0
0.415689,0,0,0
0.620364,0,0,0
0.825221,0,0,0
1.028167,0,0,0
1.232555,0,0,0
1.438032,0,0,0
1.643179,0,0,0
1.852055,0,0,0
2.059216,0,0,0
2.265131,0,0,0
2.472749,0,0,0
2.678815,0,0,0
2.884388,0,0,0
3.088494,0,0,0
3.293957,0,0,0
3.498674,0,0,0
3.704936,0,0,0
3.909698,0,0,0
4.116038,0,0,0
4.321001,0,0,0
4.526605,0,0,0
4.732748,0,0,0
4.937556,0,0,0
5.142813,0,0,0
5.348126,0,0,0
5.553995,0,0,0
5.759677,0,0,0
5.965036,0,0,0
6.170011,0,0,0
6.375791,0,0,0
6.581614,0,0,0
6.787838,0,0,0
6.993994,0,0,0
7.200534,0,0,0
7.405631,0,0,0
7.610059,0,0,0
7.814415,0,0,0
8.019898,0,0,0
8.225876,0,0,0
8.431292,0,0,0
8.639469,0,0,0
8.846913,0,0,0
9.052738,0,0,0
9.259948,0,0,0
9.465520,0,0,0
9.671700,0,0,0
9.877458,0,0,0
10.083020,0,0,0
10.289128,0,0,0
10.495555,0,0,0
10.700772,0,0,0
10.906169,0,0,0
11.110630,0,0,0
11.315067,864,1,0
11.519915,0,0,0
11.726180,0,0,0
11.930534,0,0,0
12.136725,0,0,0
12.342513,0,0,0
12.548453,0,0,0
12.753842,0,0,0
12.959570,0,0,0
13.165429,0,0,0
13.370289,0,0,0
13.576109,0,0,0
13.780982,0,0,0
13.987256,0,0,0
14.193395,0,0,0
14.398364,0,0,0
14.604455,0,0,0
14.809453,0,0,0
15.015510,0,0,0
15.220819,0,0,0
15.426919,0,0,0
15.632111,0,0,0
15.837471,0,0,0
16.043390,0,0,0
16.249406,0,0,0
16.454636,0,0,0
16.659542,0,0,0
16.864556,0,0,0
17.070239,0,0,0
17.275987,0,0,0
17.481187,0,0,0
17.685452,0,0,0
17.890352,0,0,0
18.095959,0,0,0
18.302081,0,0,0
18.506609,0,0,0
18.711560,0,0,0
18.917375,0,0,0
19.121205,0,0,0
19.327029,0,0,0
19.533274,0,0,0
19.739487,0,0,0
19.945176,0,0,0
20.149703,0,0,0
20.355988,0,0,0
20.561865,0,0,0
20.768334,0,0,0
20.973978,0,0,0
21.180055,0,0,0
21.384776,0,0,0
21.590490,0,0,0
21.795792,0,0,0
22.000978,0,0,0
22.204673,0,0,0
22.409918,0,0,0
22.615047,0,0,0
22.820746,0,0,0
23.026958,0,0,0
23.232503,0,0,0
23.437030,0,0,0
23.643274,0,0,0
23.848987,0,0,0
24.053264,0,0,0
24.259145,0,0,0
24.464207,0,0,0
24.670680,0,0,0
24.875245,0,0,0
25.080562,0,0,0
25.286372,0,0,0
25.492147,0,0,0
25.697550,0,0,0
25.902746,0,0,0
26.109741,0,0,0
26.315761,0,0,0
26.521239,0,0,0
26.727291,0,0,0
26.933555,0,0,0
