t,backlog_bytes,backlog_pkts,dropped_total
0.040017,0,0,0
0.244296,1192,4,0
0.447822,596,2,0
0.653464,1788,6,0
0.857944,1788,6,0
1.061223,2086,7,0
1.265578,596,2,0
1.474051,1490,5,0
1.678760,1192,4,0
1.882703,1490,5,0
2.086376,894,3,0
2.290507,894,3,0
2.495068,894,3,0
2.699717,298,1,0
2.904320,596,2,0
3.109186,894,3,0
3.313539,596,2,0
3.518832,596,2,0
3.722815,1490,5,0
3.930943,1192,4,0
4.137591,2086,7,0
4.344121,298,1,0
4.554923,1490,5,0
4.757732,596,2,0
4.970217,894,3,0
5.176621,1490,5,0
5.382174,2682,9,0
5.590555,1788,6,0
5.795053,2086,7,0
5.999456,2086,7,0
6.202757,1192,4,0
6.406143,596,2,0
6.612546,1490,5,0
6.816101,2086,7,0
7.021718,894,3,0
7.231737,1192,4,0
7.438908,596,2,0
7.645759,1788,6,0
7.850866,596,2,0
8.055479,1192,4,0
8.273849,894,3,0
8.481249,1192,4,0
8.687529,894,3,0
8.892184,2384,8,0
9.098596,1490,5,0
9.304637,0,0,0
9.510028,298,1,0
9.714368,2384,8,0
9.918996,0,0,0
10.121104,596,2,0
10.326406,298,1,0
10.533058,298,1,0
10.736694,1192,4,0
10.940392,894,3,0
11.145705,1490,5,0
11.353970,596,2,0
11.558893,1192,4,0
11.763516,596,2,0
11.970447,596,2,0
12.184496,799,3,0
12.388876,298,1,0
12.593623,298,1,0
12.798247,298,1,0
13.004164,298,1,0
13.209660,596,2,0
13.414649,894,3,0
13.620344,1490,5,0
13.826822,1192,4,0
14.031530,596,2,0
14.236577,1788,6,0
14.443156,0,0,0
14.648627,1192,4,0
14.855044,894,3,0
15.060588,298,1,0
15.265527,596,2,0
15.476345,2086,7,0
15.684166,1788,6,0
15.889075,596,2,0
16.095228,1192,4,0
16.300919,596,2,0
16.506164,894,3,0
16.711515,1192,4,0
16.917112,298,1,0
17.122926,596,2,0
17.329187,1192,4,0
17.534264,596,2,0
17.740012,1788,6,0
17.945635,1490,5,0
18.151515,298,1,0
18.356389,298,1,0
18.561801,2086,7,0
18.766440,298,1,0
18.971984,1192,4,0
19.177448,1788,6,0
19.382287,596,2,0
19.587253,894,3,0
19.792302,1490,5,0
19.998031,1490,5,0
20.203627,894,3,0
20.408343,596,2,0
20.613968,894,3,0
20.818817,298,1,0
21.023954,894,3,0
21.230850,894,3,0
21.436417,894,3,0
21.641804,298,1,0
21.847583,596,2,0
22.053129,298,1,0
22.257660,298,1,0
22.463031,1490,5,0
22.668018,1490,5,0
22.872539,596,2,0
23.078393,1192,4,0
23.282896,894,3,0
23.488139,596,2,0
23.694160,1192,4,0
23.899275,1490,5,0
24.104407,298,1,0
24.308772,596,2,0
24.515023,894,3,0
24.720633,1490,5,0
24.926171,596,2,0
25.131091,0,0,0
25.337269,0,0,0
25.544032,0,0,0
25.751017,0,0,0
25.957336,0,0,0
26.164220,0,0,0
26.371574,0,0,0
26.578163,0,0,0
26.783555,0,0,0
26.989542,0,0,0
