t_recv,seq,bytes,t_send,latency_ms
1765652495.056467,1,256,1765652495.029121,27.346
1765652495.058131,2,256,1765652495.031660,26.470
1765652495.059967,3,256,1765652495.033529,26.438
1765652495.062608,4,256,1765652495.036097,26.511
1765652495.063730,5,256,1765652495.037194,26.536
1765652495.064599,6,256,1765652495.038081,26.518
1765652495.070545,7,256,1765652495.044060,26.484
1765652495.070965,8,256,1765652495.044508,26.457
1765652495.072270,9,256,1765652495.045825,26.445
1765652495.072784,10,256,1765652495.046453,26.332
1765652495.077089,11,256,1765652495.050609,26.480
1765652495.078427,12,256,1765652495.051569,26.857
1765652495.078910,13,256,1765652495.052563,26.348
1765652495.081099,14,256,1765652495.054707,26.392
1765652495.081626,15,256,1765652495.055299,26.327
1765652495.082148,16,256,1765652495.055758,26.390
1765652495.083031,17,256,1765652495.056648,26.383
1765652495.085589,18,256,1765652495.059192,26.397
1765652495.088093,19,256,1765652495.061622,26.471
1765652495.091018,20,256,1765652495.064590,26.428
1765652495.098525,21,256,1765652495.072007,26.518
1765652495.101892,22,256,1765652495.075460,26.432
1765652495.103211,23,256,1765652495.076574,26.637
1765652495.108497,24,256,1765652495.082090,26.407
1765652495.112812,25,256,1765652495.086324,26.488
1765652495.113184,26,256,1765652495.086797,26.387
1765652495.113632,27,256,1765652495.087368,26.264
1765652495.114103,28,256,1765652495.087602,26.501
1765652495.117227,29,256,1765652495.090930,26.298
1765652495.117840,30,256,1765652495.091049,26.791
1765652495.120310,31,256,1765652495.093946,26.365
1765652495.121959,32,256,1765652495.095221,26.739
1765652495.123228,33,256,1765652495.096903,26.325
1765652495.124233,34,256,1765652495.097882,26.351
1765652495.125420,35,256,1765652495.099100,26.320
1765652495.129720,36,256,1765652495.103338,26.382
1765652495.130908,37,256,1765652495.104577,26.331
1765652495.132837,38,256,1765652495.106518,26.319
1765652495.133356,39,256,1765652495.106868,26.488
1765652495.136274,40,256,1765652495.109959,26.315
1765652495.136763,41,256,1765652495.110066,26.697
1765652495.137957,42,256,1765652495.111251,26.706
1765652495.140114,43,256,1765652495.113757,26.356
1765652495.140682,44,256,1765652495.114254,26.428
1765652495.145001,45,256,1765652495.118638,26.362
1765652495.145436,46,256,1765652495.119006,26.429
1765652495.145968,47,256,1765652495.119692,26.277
1765652495.146426,48,256,1765652495.119787,26.639
1765652495.146903,49,256,1765652495.120269,26.634
1765652495.148902,50,256,1765652495.122401,26.500
1765652495.151541,51,256,1765652495.125271,26.270
1765652495.154279,52,256,1765652495.127959,26.320
1765652495.157422,53,256,1765652495.131046,26.376
1765652495.158476,54,256,1765652495.132161,26.315
1765652495.158947,55,256,1765652495.132216,26.731
1765652495.168190,56,256,1765652495.141868,26.322
1765652495.169238,57,256,1765652495.142990,26.248
1765652495.171796,58,256,1765652495.145529,26.267
1765652495.173369,59,256,1765652495.147104,26.265
1765652495.175848,60,256,1765652495.149527,26.321
1765652495.176397,61,256,1765652495.150125,26.273
1765652495.176849,62,256,1765652495.150275,26.574
1765652495.187785,63,256,1765652495.161520,26.265
1765652495.188913,64,256,1765652495.162665,26.248
1765652495.189519,65,256,1765652495.163116,26.404
1765652495.190559,66,256,1765652495.164316,26.243
1765652495.192795,67,256,1765652495.166510,26.285
1765652495.193767,68,256,1765652495.167270,26.497
1765652495.194267,69,256,1765652495.168028,26.238
1765652495.197215,70,256,1765652495.170956,26.258
1765652495.202098,71,256,1765652495.175685,26.413
1765652495.205264,72,256,1765652495.178828,26.435
1765652495.205665,73,256,1765652495.178998,26.668
1765652495.206074,74,256,1765652495.179307,26.767
1765652495.211879,75,256,1765652495.185540,26.338
1765652495.212807,76,256,1765652495.186388,26.419
1765652495.213745,77,256,1765652495.187180,26.565
1765652495.216834,78,256,1765652495.190427,26.407
1765652495.218154,79,256,1765652495.191837,26.317
1765652495.218624,80,256,1765652495.191975,26.649
1765652495.221450,81,256,1765652495.195100,26.350
1765652495.221911,82,256,1765652495.195591,26.320
1765652495.222326,83,256,1765652495.195781,26.545
1765652495.222862,84,256,1765652495.195890,26.972
1765652495.223598,85,256,1765652495.197294,26.303
1765652495.224094,86,256,1765652495.197564,26.530
1765652495.226384,87,256,1765652495.199989,26.395
1765652495.226892,88,256,1765652495.200321,26.571
1765652495.232995,89,256,1765652495.206608,26.387
1765652495.235598,90,256,1765652495.209196,26.402
1765652495.238698,91,256,1765652495.212349,26.349
