t_recv,seq,bytes,t_send,latency_ms
1765685941.148935,1,256,1765685941.127366,21.569
1765685941.155014,2,256,1765685941.133856,21.158
1765685941.155967,3,256,1765685941.134837,21.130
1765685941.156243,4,256,1765685941.135350,20.893
1765685941.157778,5,256,1765685941.136736,21.042
1765685941.162005,6,256,1765685941.140818,21.187
1765685941.164309,7,256,1765685941.142908,21.400
1765685941.168834,8,256,1765685941.147680,21.154
1765685941.173124,9,256,1765685941.151999,21.125
1765685941.173249,10,256,1765685941.152129,21.121
1765685941.175345,11,256,1765685941.154358,20.987
1765685941.178798,12,256,1765685941.157666,21.132
1765685941.184530,13,256,1765685941.163236,21.294
1765685941.187681,14,256,1765685941.166437,21.244
1765685941.188355,15,256,1765685941.167290,21.065
1765685941.188655,16,256,1765685941.167531,21.124
1765685941.190843,17,256,1765685941.169721,21.122
1765685941.195805,18,256,1765685941.174704,21.101
1765685941.202806,19,256,1765685941.181815,20.990
1765685941.204212,20,256,1765685941.183239,20.972
1765685941.207033,21,256,1765685941.186035,20.997
1765685941.213995,22,256,1765685941.192946,21.049
1765685941.214493,23,256,1765685941.193664,20.828
1765685941.214909,24,256,1765685941.193986,20.923
1765685941.215315,25,256,1765685941.194275,21.040
1765685941.220786,26,256,1765685941.199779,21.007
1765685941.222688,27,256,1765685941.201695,20.994
1765685941.234900,28,256,1765685941.213934,20.966
1765685941.241143,29,256,1765685941.220221,20.921
1765685941.244977,30,256,1765685941.223957,21.020
1765685941.245189,31,256,1765685941.224273,20.916
1765685941.247473,32,256,1765685941.226352,21.121
1765685941.251674,33,256,1765685941.230726,20.949
1765685941.253245,34,256,1765685941.232027,21.218
1765685941.253601,35,256,1765685941.232383,21.218
1765685941.261702,36,256,1765685941.240524,21.178
1765685941.263541,37,256,1765685941.242495,21.046
1765685941.266653,38,256,1765685941.245815,20.838
1765685941.270918,39,256,1765685941.249950,20.967
1765685941.274071,40,256,1765685941.253188,20.884
1765685941.279166,41,256,1765685941.258288,20.879
