t_recv,seq,bytes,t_send,latency_ms
1765652495.058508,1,256,1765652495.026581,31.928
1765652495.059346,2,256,1765652495.027835,31.511
1765652495.063978,3,256,1765652495.032470,31.507
1765652495.069049,4,256,1765652495.037262,31.787
1765652495.071859,5,256,1765652495.040227,31.631
1765652495.078020,6,256,1765652495.046269,31.751
1765652495.089982,7,256,1765652495.058351,31.631
1765652495.099572,8,256,1765652495.068005,31.567
1765652495.100590,9,256,1765652495.068991,31.599
1765652495.102900,10,256,1765652495.071312,31.588
1765652495.107446,11,256,1765652495.075659,31.787
1765652495.115275,12,256,1765652495.083756,31.519
1765652495.121577,13,256,1765652495.089868,31.709
1765652495.131681,14,256,1765652495.100233,31.448
1765652495.137422,15,256,1765652495.105625,31.797
1765652495.142508,16,256,1765652495.111073,31.435
1765652495.142940,17,256,1765652495.111470,31.470
1765652495.148575,18,256,1765652495.117041,31.534
1765652495.149409,19,256,1765652495.117440,31.970
1765652495.166889,20,256,1765652495.135494,31.395
1765652495.168636,21,256,1765652495.136881,31.755
1765652495.170708,22,256,1765652495.139015,31.693
1765652495.177445,23,256,1765652495.145911,31.535
1765652495.181414,24,256,1765652495.149902,31.512
1765652495.187039,25,256,1765652495.155556,31.483
1765652495.188355,26,256,1765652495.156663,31.692
1765652495.193356,27,256,1765652495.161636,31.720
1765652495.197761,28,256,1765652495.166023,31.737
1765652495.200462,29,256,1765652495.168897,31.565
1765652495.209059,30,256,1765652495.177144,31.915
1765652495.212307,31,256,1765652495.180751,31.556
1765652495.213218,32,256,1765652495.181720,31.498
1765652495.216327,33,256,1765652495.184931,31.396
1765652495.224569,34,256,1765652495.192973,31.596
1765652495.225761,35,256,1765652495.194291,31.470
1765652495.231716,36,256,1765652495.200208,31.508
1765652495.235131,37,256,1765652495.203269,31.862
1765652495.249687,38,256,1765652495.218230,31.458
1765652495.255387,39,256,1765652495.223593,31.793
1765652495.255826,40,256,1765652495.224339,31.487
1765652495.265231,41,256,1765652495.233629,31.602
1765652495.265993,42,256,1765652495.234586,31.407
1765652495.269463,43,256,1765652495.237858,31.605
1765652495.278459,44,256,1765652495.246891,31.568
1765652495.281353,45,256,1765652495.249685,31.667
1765652495.284478,46,256,1765652495.252988,31.490
1765652495.285249,47,256,1765652495.253291,31.959
1765652495.287369,48,256,1765652495.255507,31.862
1765652495.293673,49,256,1765652495.261716,31.956
1765652495.295332,50,256,1765652495.263926,31.406
1765652495.312506,51,256,1765652495.280694,31.812
1765652495.313176,52,256,1765652495.281130,32.046
1765652495.314640,53,256,1765652495.283224,31.416
1765652495.323060,54,256,1765652495.291528,31.531
1765652495.323511,55,256,1765652495.291951,31.560
1765652495.324471,56,256,1765652495.292900,31.571
