t_send,seq,bytes
1765685941.125769,1,256
1765685941.140916,2,256
1765685941.142943,3,256
1765685941.143113,4,256
1765685941.146080,5,256
1765685941.148799,6,256
1765685941.150320,7,256
1765685941.157324,8,256
1765685941.164825,9,256
1765685941.169767,10,256
1765685941.183249,11,256
1765685941.198839,12,256
1765685941.202795,13,256
1765685941.203732,14,256
1765685941.225568,15,256
1765685941.227286,16,256
1765685941.231967,17,256
1765685941.234761,18,256
1765685941.243270,19,256
1765685941.252173,20,256
1765685941.255995,21,256
1765685941.256591,22,256
1765685941.274438,23,256
1765685941.278242,24,256
1765685941.279703,25,256
1765685941.285906,26,256
1765685941.287711,27,256
1765685941.292532,28,256
1765685941.297616,29,256
1765685941.312584,30,256
1765685941.318388,31,256
1765685941.321199,32,256
1765685941.326473,33,256
1765685941.326728,34,256
1765685941.331703,35,256
1765685941.332770,36,256
1765685941.333371,37,256
1765685941.341470,38,256
1765685941.342326,39,256
1765685941.345457,40,256
1765685941.346654,41,256
1765685941.348252,42,256
1765685941.351358,43,256
1765685941.353964,44,256
1765685941.355883,45,256
1765685941.357891,46,256
1765685941.368389,47,256
1765685941.372786,48,256
1765685941.377602,49,256
1765685941.379206,50,256
1765685941.384939,51,256
1765685941.386340,52,256
1765685941.388288,53,256
1765685941.388568,54,256
1765685941.390560,55,256
1765685941.392540,56,256
1765685941.405224,57,256
1765685941.406078,58,256
1765685941.408395,59,256
1765685941.416997,60,256
1765685941.417940,61,256
1765685941.422330,62,256
1765685941.424411,63,256
1765685941.424761,64,256
1765685941.431860,65,256
1765685941.436972,66,256
1765685941.437965,67,256
1765685941.438161,68,256
1765685941.438535,69,256
1765685941.456787,70,256
1765685941.462038,71,256
1765685941.473886,72,256
1765685941.474561,73,256
1765685941.476759,74,256
1765685941.481180,75,256
1765685941.488255,76,256
1765685941.488503,77,256
1765685941.499465,78,256
1765685941.502265,79,256
1765685941.504962,80,256
1765685941.520742,81,256
1765685941.523155,82,256
1765685941.523348,83,256
1765685941.528665,84,256
1765685941.532716,85,256
1765685941.532895,86,256
1765685941.533026,87,256
1765685941.533458,88,256
1765685941.539657,89,256
1765685941.540104,90,256
1765685941.543783,91,256
1765685941.555940,92,256
1765685941.561536,93,256
1765685941.565008,94,256
1765685941.567566,95,256
1765685941.570034,96,256
1765685941.574424,97,256
1765685941.581212,98,256
1765685941.581421,99,256
1765685941.594344,100,256
1765685941.599663,101,256
1765685941.600703,102,256
1765685941.615488,103,256
1765685941.622223,104,256
1765685941.625392,105,256
1765685941.629893,106,256
1765685941.632112,107,256
1765685941.633020,108,256
1765685941.633361,109,256
1765685941.634353,110,256
1765685941.637708,111,256
1765685941.640426,112,256
1765685941.641136,113,256
1765685941.642204,114,256
1765685941.654048,115,256
1765685941.658607,116,256
1765685941.662378,117,256
1765685941.672639,118,256
1765685941.672909,119,256
1765685941.677709,120,256
1765685941.679798,121,256
1765685941.686223,122,256
1765685941.697186,123,256
1765685941.698280,124,256
1765685941.702147,125,256
1765685941.717640,126,256
1765685941.719186,127,256
1765685941.719616,128,256
1765685941.725704,129,256
1765685941.731212,130,256
1765685941.737837,131,256
1765685941.743343,132,256
1765685941.761785,133,256
1765685941.767318,134,256
1765685941.767432,135,256
1765685941.771262,136,256
1765685941.778150,137,256
1765685941.788593,138,256
1765685941.791317,139,256
1765685941.793772,140,256
1765685941.797327,141,256
1765685941.798143,142,256
1765685941.803810,143,256
1765685941.806811,144,256
1765685941.808469,145,256
1765685941.828993,146,256
1765685941.842140,147,256
1765685941.848506,148,256
1765685941.849268,149,256
1765685941.852403,150,256
1765685941.859169,151,256
1765685941.868198,152,256
1765685941.870283,153,256
1765685941.870669,154,256
1765685941.872611,155,256
1765685941.873154,156,256
1765685941.877734,157,256
1765685941.878278,158,256
1765685941.879858,159,256
1765685941.880709,160,256
1765685941.904946,161,256
1765685941.921285,162,256
1765685941.922438,163,256
1765685941.923814,164,256
1765685941.928569,165,256
1765685941.932496,166,256
1765685941.934009,167,256
1765685941.947381,168,256
1765685941.952243,169,256
1765685941.963613,170,256
1765685941.965569,171,256
1765685941.966322,172,256
1765685941.985345,173,256
1765685941.986100,174,256
1765685941.991670,175,256
1765685941.992063,176,256
1765685941.993997,177,256
1765685941.994572,178,256
