t,backlog_bytes,backlog_pkts,dropped_total
0.032434,0,0,0
0.236208,1192,4,0
0.439869,2682,9,0
0.643443,596,2,0
0.847315,1788,6,0
1.050986,1192,4,0
1.255417,2086,7,0
1.460419,894,3,0
1.667398,2384,8,0
1.880026,1192,4,0
2.086418,1788,6,0
2.292186,894,3,0
2.496190,1788,6,0
2.700735,2086,7,0
2.905317,2086,7,0
3.111886,894,3,0
3.316882,2086,7,0
3.520210,2682,9,0
3.723452,2980,10,0
3.940469,1490,5,0
4.147324,1192,4,0
4.361228,1788,6,0
4.566748,1192,4,0
4.772713,298,1,0
4.979227,1192,4,0
5.186357,1788,6,0
5.393351,1490,5,0
5.601261,1788,6,0
5.807494,1788,6,0
6.012895,596,2,0
6.219635,1788,6,0
6.425516,1490,5,0
6.630153,1788,6,0
6.835660,0,0,0
7.043411,2086,7,0
7.247451,1490,5,0
7.459845,1788,6,0
7.665518,2086,7,0
7.871868,2384,8,0
8.077274,1192,4,0
8.282042,1788,6,0
8.486615,1490,5,0
8.690650,1788,6,0
8.895679,2086,7,0
9.101503,1490,5,0
9.305159,2086,7,0
9.509645,894,3,0
9.715848,1192,4,0
9.921400,1490,5,0
10.131775,1788,6,0
10.335148,1788,6,0
10.539204,2086,7,0
10.744672,2384,8,0
10.952363,1192,4,0
11.161941,596,2,0
11.368598,2086,7,0
11.575346,1490,5,0
11.781765,596,2,0
11.985974,1490,5,0
12.194791,1490,5,0
12.399192,1490,5,0
12.605685,2086,7,0
12.811663,2384,8,0
13.013557,894,3,0
13.239641,298,1,0
13.444736,1788,6,0
13.652536,1192,4,0
13.858515,2086,7,0
14.063003,2086,7,0
14.273006,1788,6,0
14.477794,894,3,0
14.683172,894,3,0
14.887694,1490,5,0
15.094213,1490,5,0
15.298621,298,1,0
15.504984,1192,4,0
15.711311,1192,4,0
15.915548,1490,5,0
16.123476,1490,5,0
16.327988,1192,4,0
16.534757,1490,5,0
16.740250,894,3,0
16.943319,2086,7,0
17.150156,2384,8,0
17.354029,298,1,0
17.559978,894,3,0
17.765791,1192,4,0
17.971347,1490,5,0
18.177505,2086,7,0
18.381539,1192,4,0
18.586920,1788,6,0
18.793845,596,2,0
19.000877,2384,8,0
19.208523,1192,4,0
19.415038,1490,5,0
19.621303,1788,6,0
19.826188,894,3,0
20.028927,2384,8,0
20.236183,1192,4,0
20.442059,1788,6,0
20.646862,1490,5,0
20.852413,1788,6,0
21.057636,1788,6,0
21.262717,2086,7,0
21.467834,894,3,0
21.675010,1192,4,0
21.880363,1490,5,0
22.085627,894,3,0
22.292690,1192,4,0
22.498492,2384,8,0
22.705761,1192,4,0
22.912054,1490,5,0
23.119277,2086,7,0
23.325453,1192,4,0
23.531401,2086,7,0
23.740047,2682,9,0
23.944559,894,3,0
24.149470,2086,7,0
24.358209,298,1,0
24.564535,1192,4,0
24.770967,894,3,0
24.980323,1490,5,0
25.187506,0,0,0
25.394516,0,0,0
25.597366,0,0,0
25.803429,0,0,0
26.009971,0,0,0
26.215290,0,0,0
26.422017,0,0,0
26.626380,0,0,0
26.831988,0,0,0
