t,backlog_bytes,backlog_pkts,dropped_total
0.045843,0,0,0
0.249727,4470,15,0
0.455412,3874,13,0
0.659892,1788,6,0
0.864711,3278,11,0
1.068495,4172,14,0
1.273154,2682,9,0
1.478676,4768,16,0
1.684712,1192,4,0
1.892387,2980,10,0
2.101358,4172,14,0
2.307822,4172,14,0
2.512580,4172,14,0
2.717578,2980,10,0
2.921882,3278,11,0
3.127332,4172,14,0
3.332927,1192,4,0
3.537610,2384,8,0
3.743001,2682,9,0
3.953820,2682,9,0
4.160902,4172,14,0
4.376869,3576,12,0
4.584097,2384,8,0
4.789064,3576,12,0
4.995016,4470,15,0
5.202052,2980,10,0
5.408212,1788,6,0
5.616522,2384,8,0
5.824273,5066,17,0
6.029752,3874,13,0
6.237835,3576,12,0
6.443182,3278,11,0
6.648494,2384,8,0
6.855689,2980,10,0
7.062120,4768,16,0
7.268419,3278,11,0
7.477060,3278,11,0
7.683287,2980,10,0
7.891269,2086,7,0
8.096976,2384,8,0
8.302067,2980,10,0
8.506361,5960,20,0
8.714214,2384,8,0
8.919093,1788,6,0
9.125212,3576,12,0
9.329810,5066,17,0
9.534865,4172,14,0
9.739906,3874,13,0
9.944982,3278,11,0
10.151133,3576,12,0
10.354869,2980,10,0
10.559042,3576,12,0
10.763497,4172,14,0
10.972389,4768,16,0
11.180463,3874,13,0
11.388704,2384,8,0
11.594501,2682,9,0
11.803747,4172,14,0
12.010874,3278,11,0
12.217134,3278,11,0
12.421417,2384,8,0
12.628445,3576,12,0
12.833949,4172,14,0
13.039362,3874,13,0
13.252867,6854,23,0
13.455732,2682,9,0
13.666368,4172,14,0
13.873986,2980,10,0
14.079416,3278,11,0
14.285119,2384,8,0
14.490597,3576,12,0
14.695972,4470,15,0
14.900004,3576,12,0
15.105871,2086,7,0
15.311267,5066,17,0
15.516144,3278,11,0
15.726733,6258,21,0
15.931530,5066,17,0
16.137594,3576,12,0
16.343711,5364,18,0
16.548195,4470,15,0
16.754092,1788,6,0
16.958260,3576,12,0
17.168269,4768,16,0
17.372828,5066,17,0
17.578151,3278,11,0
17.782299,4172,14,0
17.986134,3576,12,0
18.189948,3576,12,0
18.393425,4172,14,0
18.599603,3576,12,0
18.809260,3874,13,0
19.015170,2980,10,0
19.226958,4172,14,0
19.432184,3874,13,0
19.640326,2980,10,0
19.846279,1490,5,0
20.051405,3874,13,0
20.257589,5066,17,0
20.462803,4470,15,0
20.668998,2384,8,0
20.874455,1490,5,0
21.080685,3278,11,0
21.288255,1788,6,0
21.492717,5066,17,0
21.698619,2682,9,0
21.904672,4470,15,0
22.109933,3874,13,0
22.315408,5066,17,0
22.520680,2980,10,0
22.728871,2682,9,0
22.933124,3576,12,0
23.139491,1788,6,0
23.345399,2682,9,0
23.550529,2980,10,0
23.756990,2384,8,0
23.962440,3278,11,0
24.167279,2980,10,0
24.374644,2682,9,0
24.580132,2384,8,0
24.787646,3874,13,0
24.994613,2086,7,0
25.200874,0,0,0
25.407826,0,0,0
25.610483,0,0,0
25.815205,0,0,0
26.019337,0,0,0
26.223912,0,0,0
26.429151,0,0,0
26.634822,0,0,0
26.839406,0,0,0
