t_recv,seq,bytes,t_send,latency_ms
1770107159.471099,2,256,1770107159.439887,31.212
1770107159.472922,4,256,1770107159.441955,30.967
1770107159.473203,5,256,1770107159.442001,31.202
1770107159.474808,6,256,1770107159.443926,30.882
1770107159.475307,8,256,1770107159.444264,31.043
1770107159.475521,9,256,1770107159.444289,31.232
1770107159.475821,10,256,1770107159.444681,31.139
1770107159.478113,11,256,1770107159.447177,30.936
1770107159.480374,12,256,1770107159.449127,31.246
1770107159.480505,13,256,1770107159.449337,31.168
1770107159.482603,14,256,1770107159.451543,31.060
1770107159.483795,15,256,1770107159.452053,31.743
1770107159.484007,16,256,1770107159.452544,31.463
1770107159.484561,17,256,1770107159.453606,30.955
1770107159.484805,18,256,1770107159.453778,31.027
1770107159.489261,19,256,1770107159.458220,31.041
1770107159.489454,20,256,1770107159.458451,31.003
1770107159.491326,22,256,1770107159.460402,30.924
1770107159.495710,24,256,1770107159.464829,30.881
1770107159.500352,25,256,1770107159.469261,31.090
1770107159.500612,26,256,1770107159.469411,31.201
1770107159.501060,27,256,1770107159.470248,30.811
1770107159.502414,28,256,1770107159.471379,31.035
1770107159.505780,30,256,1770107159.474957,30.823
1770107159.506388,31,256,1770107159.475458,30.929
1770107159.509424,32,256,1770107159.478585,30.838
1770107159.511237,34,256,1770107159.480224,31.013
1770107159.511625,35,256,1770107159.480408,31.216
1770107159.512017,36,256,1770107159.481278,30.739
1770107159.512805,37,256,1770107159.482001,30.805
1770107159.518111,38,256,1770107159.487131,30.980
1770107159.518775,39,256,1770107159.487898,30.877
1770107159.519218,40,256,1770107159.488390,30.828
1770107159.519785,41,256,1770107159.488826,30.959
1770107159.520086,42,256,1770107159.488867,31.219
1770107159.520381,43,256,1770107159.489482,30.899
1770107159.521333,44,256,1770107159.490605,30.728
1770107159.526315,47,256,1770107159.495528,30.786
1770107159.534927,49,256,1770107159.503934,30.993
1770107159.535251,50,256,1770107159.504461,30.790
1770107159.535646,51,256,1770107159.504909,30.737
1770107159.540583,52,256,1770107159.509525,31.058
1770107159.541391,53,256,1770107159.510493,30.899
1770107159.541685,54,256,1770107159.510834,30.852
1770107159.542289,55,256,1770107159.511030,31.259
1770107159.545444,57,256,1770107159.514713,30.730
1770107159.546005,58,256,1770107159.515285,30.719
1770107159.547696,60,256,1770107159.516732,30.964
1770107159.549172,61,256,1770107159.518067,31.105
1770107159.549864,62,256,1770107159.518590,31.274
1770107159.550749,64,256,1770107159.519533,31.216
1770107159.551587,65,256,1770107159.520841,30.746
1770107159.554331,67,256,1770107159.523596,30.736
1770107159.555337,68,256,1770107159.524611,30.727
1770107159.557365,69,256,1770107159.526440,30.925
1770107159.557696,70,256,1770107159.526469,31.228
1770107159.561532,71,256,1770107159.530494,31.038
1770107159.563648,72,256,1770107159.532779,30.869
1770107159.564797,73,256,1770107159.534069,30.728
1770107159.566067,74,256,1770107159.535326,30.741
1770107159.566401,75,256,1770107159.535681,30.720
1770107159.568345,76,256,1770107159.537494,30.851
1770107159.570321,79,256,1770107159.539218,31.103
1770107159.572872,80,256,1770107159.541919,30.953
1770107159.574596,82,256,1770107159.543785,30.812
1770107159.575484,83,256,1770107159.544670,30.814
1770107159.578303,85,256,1770107159.547344,30.958
1770107159.581306,86,256,1770107159.550146,31.160
1770107159.582423,87,256,1770107159.551704,30.720
1770107159.587417,89,256,1770107159.556480,30.937
1770107159.587757,90,256,1770107159.556810,30.947
1770107159.588701,91,256,1770107159.557704,30.997
1770107159.589795,92,256,1770107159.558787,31.008
1770107159.591602,94,256,1770107159.560480,31.122
1770107159.592404,96,256,1770107159.561631,30.772
1770107159.595373,97,256,1770107159.564578,30.796
1770107159.597804,98,256,1770107159.566981,30.823
1770107159.599102,99,256,1770107159.568265,30.837
1770107159.602082,101,256,1770107159.570971,31.111
1770107159.605106,102,256,1770107159.574064,31.042
1770107159.607929,103,256,1770107159.576874,31.055
1770107159.609265,105,256,1770107159.578409,30.856
1770107159.610045,106,256,1770107159.579241,30.804
1770107159.610355,107,256,1770107159.579370,30.985
1770107159.610661,108,256,1770107159.579537,31.124
1770107159.610945,109,256,1770107159.580168,30.777
1770107159.611793,110,256,1770107159.581063,30.730
1770107159.613331,111,256,1770107159.582585,30.746
1770107159.613948,112,256,1770107159.582956,30.992
1770107159.614292,113,256,1770107159.583463,30.829
1770107159.618061,115,256,1770107159.587047,31.014
1770107159.618796,116,256,1770107159.588066,30.729
1770107159.619073,117,256,1770107159.588181,30.892
1770107159.619371,118,256,1770107159.588404,30.967
1770107159.620363,119,256,1770107159.589164,31.199
1770107159.628814,122,256,1770107159.597970,30.844
1770107159.629001,123,256,1770107159.598081,30.919
1770107159.631279,124,256,1770107159.600392,30.887
1770107159.638252,125,256,1770107159.607422,30.830
1770107159.639683,126,256,1770107159.608851,30.833
1770107159.640244,127,256,1770107159.609470,30.773
1770107159.641428,128,256,1770107159.610431,30.997
1770107159.643312,129,256,1770107159.612325,30.986
1770107159.643457,130,256,1770107159.612440,31.017
1770107159.643888,131,256,1770107159.612699,31.189
1770107159.645369,132,256,1770107159.614434,30.935
1770107159.646256,133,256,1770107159.614709,31.548
1770107159.646390,134,256,1770107159.615108,31.282
1770107159.646709,135,256,1770107159.615291,31.418
1770107159.647071,136,256,1770107159.615899,31.172
1770107159.648122,137,256,1770107159.617167,30.956
1770107159.648690,138,256,1770107159.617876,30.814
1770107159.650898,139,256,1770107159.619836,31.062
1770107159.651463,141,256,1770107159.620387,31.076
1770107159.651827,142,256,1770107159.621097,30.730
1770107159.653031,143,256,1770107159.622151,30.880
1770107159.656110,145,256,1770107159.625264,30.847
1770107159.663562,147,256,1770107159.632772,30.790
1770107159.664909,148,256,1770107159.633871,31.038
