t_recv,seq,bytes,t_send,latency_ms
1765688143.459654,1,256,1765688143.414231,45.423
1765688143.461984,2,256,1765688143.414498,47.487
1765688143.464330,3,256,1765688143.417290,47.040
1765688143.466728,4,256,1765688143.418013,48.715
1765688143.469169,5,256,1765688143.418138,51.031
1765688143.471506,6,256,1765688143.421065,50.442
1765688143.473833,7,256,1765688143.421244,52.588
1765688143.476233,8,256,1765688143.423264,52.969
1765688143.478581,9,256,1765688143.425906,52.674
1765688143.483382,10,256,1765688143.430365,53.017
1765688143.488235,11,256,1765688143.431349,56.886
1765688143.490634,12,256,1765688143.431794,58.840
1765688143.495358,13,256,1765688143.433570,61.788
1765688143.509700,18,256,1765688143.442719,66.981
1765688143.521564,26,256,1765688143.457799,63.765
1765688143.523928,27,256,1765688143.459994,63.935
1765688143.535856,30,256,1765688143.470824,65.031
1765688143.538228,32,256,1765688143.473370,64.858
1765688143.545350,34,256,1765688143.481532,63.818
1765688143.550125,35,256,1765688143.485865,64.260
1765688143.564438,43,256,1765688143.502213,62.226
1765688143.573989,48,256,1765688143.510970,63.019
1765688143.578747,49,256,1765688143.516991,61.755
1765688143.581150,50,256,1765688143.518257,62.893
1765688143.583504,51,256,1765688143.519634,63.870
1765688143.597862,57,256,1765688143.532733,65.129
1765688143.600244,58,256,1765688143.534796,65.448
1765688143.617025,62,256,1765688143.555349,61.675
1765688143.624216,64,256,1765688143.557570,66.646
1765688143.631263,70,256,1765688143.566212,65.051
1765688143.638352,72,256,1765688143.573530,64.821
1765688143.645698,75,256,1765688143.582650,63.049
1765688143.650327,77,256,1765688143.587893,62.434
1765688143.655133,79,256,1765688143.591244,63.889
1765688143.657421,82,256,1765688143.594071,63.350
1765688143.659804,84,256,1765688143.595656,64.147
1765688143.666997,86,256,1765688143.604179,62.818
1765688143.679102,91,256,1765688143.614708,64.394
1765688143.688603,97,256,1765688143.623198,65.405
1765688143.691005,100,256,1765688143.626243,64.762
1765688143.695643,103,256,1765688143.631190,64.454
1765688143.707601,108,256,1765688143.643290,64.312
1765688143.717105,114,256,1765688143.654323,62.783
1765688143.719463,115,256,1765688143.654947,64.516
1765688143.721977,116,256,1765688143.657008,64.969
1765688143.726780,122,256,1765688143.661662,65.118
1765688143.738558,130,256,1765688143.673690,64.867
1765688143.740998,132,256,1765688143.676673,64.325
1765688143.743244,134,256,1765688143.678719,64.525
1765688143.750386,138,256,1765688143.686932,63.454
1765688143.752778,139,256,1765688143.690307,62.471
1765688143.764694,145,256,1765688143.700117,64.578
1765688143.767028,148,256,1765688143.702934,64.093
1765688143.779002,151,256,1765688143.715792,63.210
1765688143.786113,155,256,1765688143.722146,63.967
1765688143.793294,159,256,1765688143.728817,64.478
1765688143.802854,164,256,1765688143.738445,64.409
1765688143.812432,174,256,1765688143.749114,63.318
1765688143.817181,177,256,1765688143.753020,64.161
1765688143.824265,179,256,1765688143.764082,60.182
1765688143.829092,181,256,1765688143.765385,63.707
1765688143.836205,184,256,1765688143.771501,64.704
1765688143.838634,185,256,1765688143.772910,65.724
1765688143.850564,188,256,1765688143.786924,63.640
1765688143.857681,191,256,1765688143.793968,63.713
1765688143.871954,197,256,1765688143.808446,63.508
1765688143.879101,198,256,1765688143.815756,63.346
1765688143.891049,204,256,1765688143.828934,62.115
1765688143.905421,206,256,1765688143.841371,64.051
1765688143.912499,210,256,1765688143.850319,62.181
1765688143.914853,212,256,1765688143.852148,62.705
1765688143.919627,216,256,1765688143.855592,64.036
1765688143.929200,218,256,1765688143.865878,63.322
1765688143.936330,220,256,1765688143.872694,63.636
1765688143.938703,221,256,1765688143.876210,62.493
1765688143.950635,224,256,1765688143.886940,63.695
1765688143.960163,226,256,1765688143.896448,63.715
1765688143.976892,230,256,1765688143.914583,62.309
1765688143.981646,232,256,1765688143.917862,63.784
1765688143.988756,234,256,1765688143.924978,63.777
1765688144.005519,245,256,1765688143.941710,63.809
1765688144.010296,249,256,1765688143.946721,63.575
1765688144.015023,252,256,1765688143.951737,63.285
1765688144.019754,257,256,1765688143.956077,63.677
1765688144.022192,259,256,1765688143.958147,64.045
1765688144.024564,262,256,1765688143.960734,63.830
1765688144.026951,264,256,1765688143.964707,62.244
1765688144.053170,276,256,1765688143.988874,64.295
1765688144.067487,286,256,1765688144.002750,64.737
1765688144.077034,289,256,1765688144.012510,64.523
1765688144.079388,291,256,1765688144.015322,64.066
1765688144.086579,295,256,1765688144.021709,64.870
1765688144.096132,301,256,1765688144.031401,64.730
1765688144.110433,304,256,1765688144.046487,63.946
1765688144.112885,305,256,1765688144.047962,64.924
1765688144.117575,308,256,1765688144.053658,63.916
1765688144.119925,310,256,1765688144.058608,61.317
1765688144.122285,311,256,1765688144.059349,62.936
1765688144.124653,312,256,1765688144.062320,62.332
1765688144.136787,317,256,1765688144.073659,63.128
1765688144.141419,319,256,1765688144.077305,64.115
1765688144.143786,322,256,1765688144.079988,63.798
1765688144.146239,324,256,1765688144.083690,62.549
1765688144.148632,325,256,1765688144.085224,63.408
1765688144.158076,329,256,1765688144.094779,63.298
1765688144.165236,333,256,1765688144.102398,62.838
1765688144.169979,334,256,1765688144.108254,61.725
1765688144.177165,337,256,1765688144.113650,63.516
1765688144.179527,338,256,1765688144.116016,63.510
1765688144.184271,340,256,1765688144.121440,62.831
1765688144.186619,341,256,1765688144.123295,63.323
1765688144.191438,344,256,1765688144.129416,62.022
1765688144.193773,345,256,1765688144.130821,62.952
1765688144.198612,349,256,1765688144.135638,62.973
1765688144.205701,354,256,1765688144.142116,63.584
1765688144.208093,356,256,1765688144.144258,63.835
1765688144.217696,358,256,1765688144.153009,64.687
1765688144.222388,360,256,1765688144.157463,64.925
1765688144.227172,361,256,1765688144.162581,64.591
1765688144.234367,362,256,1765688144.169292,65.075
1765688144.241525,366,256,1765688144.177638,63.887
1765688144.251085,369,256,1765688144.186740,64.345
1765688144.267762,374,256,1765688144.202322,65.440
1765688144.270171,376,256,1765688144.204539,65.632
1765688144.272509,378,256,1765688144.206713,65.796
1765688144.274858,379,256,1765688144.210705,64.153
1765688144.277260,380,256,1765688144.211973,65.288
1765688144.282076,382,256,1765688144.219288,62.788
1765688144.298811,391,256,1765688144.234962,63.848
1765688144.310725,395,256,1765688144.247720,63.005
1765688144.315420,401,256,1765688144.252772,62.647
1765688144.320178,405,256,1765688144.256648,63.531
1765688144.324928,408,256,1765688144.260613,64.315
1765688144.327313,410,256,1765688144.264019,63.294
1765688144.334436,414,256,1765688144.271675,62.761
1765688144.339270,417,256,1765688144.277284,61.986
1765688144.343998,419,256,1765688144.281099,62.900
1765688144.353541,424,256,1765688144.289367,64.173
1765688144.365463,429,256,1765688144.300739,64.724
1765688144.367819,431,256,1765688144.302637,65.182
1765688144.370176,432,256,1765688144.307917,62.259
1765688144.384502,435,256,1765688144.319348,65.155
1765688144.394044,439,256,1765688144.329693,64.351
1765688144.396415,440,256,1765688144.332136,64.278
1765688144.403573,445,256,1765688144.339129,64.444
1765688144.408336,447,256,1765688144.345234,63.102
1765688144.413089,448,256,1765688144.349242,63.847
1765688144.415468,450,256,1765688144.349719,65.749
1765688144.417861,451,256,1765688144.352856,65.005
1765688144.422685,455,256,1765688144.356837,65.848
1765688144.429792,459,256,1765688144.366643,63.149
1765688144.434585,462,256,1765688144.370064,64.521
1765688144.437026,463,256,1765688144.373585,63.441
1765688144.439342,465,256,1765688144.376071,63.271
1765688144.441709,467,256,1765688144.377937,63.772
1765688144.446469,469,256,1765688144.382774,63.695
1765688144.467922,485,256,1765688144.404770,63.152
1765688144.477454,488,256,1765688144.414381,63.074
1765688144.487002,494,256,1765688144.427835,59.167
1765688144.489371,495,256,1765688144.428181,61.190
1765688144.496567,496,256,1765688144.430120,66.447
1765688144.498907,497,256,1765688144.434365,64.543
1765688144.501310,499,256,1765688144.434674,66.636
1765688144.506075,502,256,1765688144.439603,66.472
1765688144.513218,511,256,1765688144.449026,64.192
1765688144.527529,519,256,1765688144.466768,60.761
1765688144.532319,520,256,1765688144.469091,63.227
1765688144.537178,522,256,1765688144.471677,65.501
1765688144.541881,525,256,1765688144.475277,66.605
1765688144.544299,528,256,1765688144.479675,64.624
1765688144.546668,530,256,1765688144.481137,65.531
1765688144.549044,533,256,1765688144.483095,65.949
1765688144.551418,537,256,1765688144.485541,65.876
1765688144.558600,540,256,1765688144.496876,61.724
1765688144.560996,542,256,1765688144.498874,62.122
1765688144.563347,544,256,1765688144.499099,64.248
1765688144.572860,548,256,1765688144.510855,62.005
1765688144.582419,549,256,1765688144.518165,64.253
1765688144.591964,550,256,1765688144.526493,65.471
1765688144.594300,552,256,1765688144.527666,66.633
1765688144.603861,558,256,1765688144.540555,63.306
1765688144.608657,560,256,1765688144.545283,63.374
1765688144.611020,561,256,1765688144.546487,64.532
1765688144.618206,563,256,1765688144.554965,63.241
1765688144.622962,564,256,1765688144.558977,63.985
1765688144.627764,567,256,1765688144.563144,64.620
1765688144.630113,570,256,1765688144.565161,64.952
1765688144.634878,573,256,1765688144.572030,62.848
1765688144.646945,579,256,1765688144.582836,64.109
1765688144.649320,580,256,1765688144.585247,64.074
1765688144.651665,582,256,1765688144.587563,64.102
1765688144.656455,583,256,1765688144.594239,62.216
1765688144.658841,584,256,1765688144.594864,63.977
1765688144.661204,587,256,1765688144.596896,64.307
1765688144.680314,596,256,1765688144.617642,62.672
1765688144.685101,597,256,1765688144.621464,63.637
1765688144.687461,598,256,1765688144.623648,63.813
1765688144.692227,602,256,1765688144.628692,63.535
1765688144.694600,605,256,1765688144.630595,64.005
1765688144.697002,606,256,1765688144.634106,62.896
1765688144.699357,608,256,1765688144.636695,62.662
1765688144.704142,610,256,1765688144.640568,63.573
1765688144.711332,613,256,1765688144.647478,63.854
1765688144.725641,621,256,1765688144.661202,64.439
1765688144.727980,623,256,1765688144.664046,63.935
1765688144.739818,625,256,1765688144.676625,63.193
1765688144.754171,631,256,1765688144.689229,64.941
1765688144.756532,634,256,1765688144.691824,64.708
1765688144.758941,636,256,1765688144.693801,65.140
1765688144.763705,638,256,1765688144.699928,63.777
1765688144.773136,641,256,1765688144.709347,63.790
1765688144.775542,643,256,1765688144.711333,64.210
1765688144.777891,645,256,1765688144.714509,63.383
1765688144.780260,646,256,1765688144.716096,64.164
