t_recv,seq,bytes,t_send,latency_ms
1770107159.485204,5,256,1770107159.453522,31.682
1770107159.485699,6,256,1770107159.454507,31.193
1770107159.496975,7,256,1770107159.465476,31.499
1770107159.505480,11,256,1770107159.474258,31.222
1770107159.515774,16,256,1770107159.484508,31.266
1770107159.521721,20,256,1770107159.490748,30.973
1770107159.522536,21,256,1770107159.491260,31.276
1770107159.527463,22,256,1770107159.496298,31.165
1770107159.542018,24,256,1770107159.510384,31.634
1770107159.542636,25,256,1770107159.510556,32.079
1770107159.548346,27,256,1770107159.517324,31.022
1770107159.549653,29,256,1770107159.518256,31.396
1770107159.550507,30,256,1770107159.518980,31.527
1770107159.561280,32,256,1770107159.529893,31.387
1770107159.566862,35,256,1770107159.535786,31.075
1770107159.583477,42,256,1770107159.552272,31.206
1770107159.593780,45,256,1770107159.562701,31.079
1770107159.595694,46,256,1770107159.564302,31.392
1770107159.623040,50,256,1770107159.591774,31.266
1770107159.626828,51,256,1770107159.595299,31.529
1770107159.630478,52,256,1770107159.599405,31.073
1770107159.645543,54,256,1770107159.614340,31.203
1770107159.654098,56,256,1770107159.623210,30.888
1770107159.658563,57,256,1770107159.627057,31.506
1770107159.666887,59,256,1770107159.635755,31.132
1770107159.688651,64,256,1770107159.657754,30.897
1770107159.694884,68,256,1770107159.663804,31.081
1770107159.704864,73,256,1770107159.673887,30.977
1770107159.706482,74,256,1770107159.675588,30.894
1770107159.711283,75,256,1770107159.680144,31.140
1770107159.725918,77,256,1770107159.694994,30.924
1770107159.740430,81,256,1770107159.709350,31.080
1770107159.746792,82,256,1770107159.715878,30.913
1770107159.761497,89,256,1770107159.730472,31.025
1770107159.774307,93,256,1770107159.743425,30.883
1770107159.774716,94,256,1770107159.743676,31.040
1770107159.784467,99,256,1770107159.753530,30.936
1770107159.788289,100,256,1770107159.757292,30.996
1770107159.799290,102,256,1770107159.768067,31.222
1770107159.803523,105,256,1770107159.772027,31.495
1770107159.808582,107,256,1770107159.777627,30.955
1770107159.834341,111,256,1770107159.803415,30.926
1770107159.851979,115,256,1770107159.820652,31.327
1770107159.862317,117,256,1770107159.831310,31.008
1770107159.870267,119,256,1770107159.839334,30.934
1770107159.887472,123,256,1770107159.856073,31.399
1770107159.898882,125,256,1770107159.867957,30.925
1770107159.911042,127,256,1770107159.880071,30.971
1770107159.930134,135,256,1770107159.899147,30.987
1770107159.958703,144,256,1770107159.927566,31.137
1770107159.971600,146,256,1770107159.940631,30.969
1770107159.989796,150,256,1770107159.958846,30.950
1770107159.990960,151,256,1770107159.959579,31.381
1770107160.004695,158,256,1770107159.973666,31.029
1770107160.022693,164,256,1770107159.991693,31.000
1770107160.030233,166,256,1770107159.999235,30.998
1770107160.040219,167,256,1770107160.009241,30.978
1770107160.047741,169,256,1770107160.016805,30.937
1770107160.064505,171,256,1770107160.033321,31.184
1770107160.065372,172,256,1770107160.034122,31.250
1770107160.066790,173,256,1770107160.035409,31.381
1770107160.067046,174,256,1770107160.036029,31.016
1770107160.067644,175,256,1770107160.036746,30.898
1770107160.068110,176,256,1770107160.036785,31.325
