t_send,seq,bytes
1770107159.436933,1,256
1770107159.439887,2,256
1770107159.441160,3,256
1770107159.441955,4,256
1770107159.442001,5,256
1770107159.443926,6,256
1770107159.444065,7,256
1770107159.444264,8,256
1770107159.444289,9,256
1770107159.444681,10,256
1770107159.447177,11,256
1770107159.449127,12,256
1770107159.449337,13,256
1770107159.451543,14,256
1770107159.452053,15,256
1770107159.452544,16,256
1770107159.453606,17,256
1770107159.453778,18,256
1770107159.458220,19,256
1770107159.458451,20,256
1770107159.459562,21,256
1770107159.460402,22,256
1770107159.462623,23,256
1770107159.464829,24,256
1770107159.469261,25,256
1770107159.469411,26,256
1770107159.470248,27,256
1770107159.471379,28,256
1770107159.474410,29,256
1770107159.474957,30,256
1770107159.475458,31,256
1770107159.478585,32,256
1770107159.479226,33,256
1770107159.480224,34,256
1770107159.480408,35,256
1770107159.481278,36,256
1770107159.482001,37,256
1770107159.487131,38,256
1770107159.487898,39,256
1770107159.488390,40,256
1770107159.488826,41,256
1770107159.488867,42,256
1770107159.489482,43,256
1770107159.490605,44,256
1770107159.491663,45,256
1770107159.494579,46,256
1770107159.495528,47,256
1770107159.500878,48,256
1770107159.503934,49,256
1770107159.504461,50,256
1770107159.504909,51,256
1770107159.509525,52,256
1770107159.510493,53,256
1770107159.510834,54,256
1770107159.511030,55,256
1770107159.513963,56,256
1770107159.514713,57,256
1770107159.515285,58,256
1770107159.515985,59,256
1770107159.516732,60,256
1770107159.518067,61,256
1770107159.518590,62,256
1770107159.519251,63,256
1770107159.519533,64,256
1770107159.520841,65,256
1770107159.521780,66,256
1770107159.523596,67,256
1770107159.524611,68,256
1770107159.526440,69,256
1770107159.526469,70,256
1770107159.530494,71,256
1770107159.532779,72,256
1770107159.534069,73,256
1770107159.535326,74,256
1770107159.535681,75,256
1770107159.537494,76,256
1770107159.538204,77,256
1770107159.538767,78,256
1770107159.539218,79,256
1770107159.541919,80,256
1770107159.543594,81,256
1770107159.543785,82,256
1770107159.544670,83,256
1770107159.546689,84,256
1770107159.547344,85,256
1770107159.550146,86,256
1770107159.551704,87,256
1770107159.551733,88,256
1770107159.556480,89,256
1770107159.556810,90,256
1770107159.557704,91,256
1770107159.558787,92,256
1770107159.559875,93,256
1770107159.560480,94,256
1770107159.561331,95,256
1770107159.561631,96,256
1770107159.564578,97,256
1770107159.566981,98,256
1770107159.568265,99,256
1770107159.568615,100,256
1770107159.570971,101,256
1770107159.574064,102,256
1770107159.576874,103,256
1770107159.577735,104,256
1770107159.578409,105,256
1770107159.579241,106,256
1770107159.579370,107,256
1770107159.579537,108,256
1770107159.580168,109,256
1770107159.581063,110,256
1770107159.582585,111,256
1770107159.582956,112,256
1770107159.583463,113,256
1770107159.585269,114,256
1770107159.587047,115,256
1770107159.588066,116,256
1770107159.588181,117,256
1770107159.588404,118,256
1770107159.589164,119,256
1770107159.590807,120,256
1770107159.591699,121,256
1770107159.597970,122,256
1770107159.598081,123,256
1770107159.600392,124,256
1770107159.607422,125,256
1770107159.608851,126,256
1770107159.609470,127,256
1770107159.610431,128,256
1770107159.612325,129,256
1770107159.612440,130,256
1770107159.612699,131,256
1770107159.614434,132,256
1770107159.614709,133,256
1770107159.615108,134,256
1770107159.615291,135,256
1770107159.615899,136,256
1770107159.617167,137,256
1770107159.617876,138,256
1770107159.619836,139,256
1770107159.620016,140,256
1770107159.620387,141,256
1770107159.621097,142,256
1770107159.622151,143,256
1770107159.622714,144,256
1770107159.625264,145,256
1770107159.628932,146,256
1770107159.632772,147,256
1770107159.633871,148,256
1770107159.634314,149,256
1770107159.635268,150,256
1770107159.636647,151,256
1770107159.640480,152,256
1770107159.642235,153,256
1770107159.645837,154,256
1770107159.647687,155,256
1770107159.647893,156,256
1770107159.649347,157,256
1770107159.649431,158,256
1770107159.650298,159,256
1770107159.651064,160,256
1770107159.651923,161,256
1770107159.654019,162,256
1770107159.654322,163,256
1770107159.655785,164,256
1770107159.655902,165,256
1770107159.657201,166,256
1770107159.657583,167,256
1770107159.658672,168,256
1770107159.659524,169,256
1770107159.661924,170,256
1770107159.662781,171,256
1770107159.663851,172,256
1770107159.665594,173,256
1770107159.666800,174,256
1770107159.670706,175,256
1770107159.670870,176,256
1770107159.673831,177,256
1770107159.679276,178,256
1770107159.679713,179,256
1770107159.680265,180,256
1770107159.681633,181,256
1770107159.681668,182,256
1770107159.681883,183,256
1770107159.683898,184,256
1770107159.684324,185,256
1770107159.684768,186,256
1770107159.685585,187,256
1770107159.686530,188,256
1770107159.690016,189,256
1770107159.690710,190,256
1770107159.691203,191,256
1770107159.691748,192,256
1770107159.692998,193,256
1770107159.693340,194,256
1770107159.693964,195,256
1770107159.694002,196,256
1770107159.694610,197,256
1770107159.694649,198,256
1770107159.695778,199,256
1770107159.696084,200,256
