t_send,seq,bytes
1770107159.451281,1,256
1770107159.451782,2,256
1770107159.451904,3,256
1770107159.455500,4,256
1770107159.456599,5,256
1770107159.458853,6,256
1770107159.459643,7,256
1770107159.459928,8,256
1770107159.461385,9,256
1770107159.463412,10,256
1770107159.466390,11,256
1770107159.468177,12,256
1770107159.471839,13,256
1770107159.474212,14,256
1770107159.475283,15,256
1770107159.477374,16,256
1770107159.480240,17,256
1770107159.483280,18,256
1770107159.483860,19,256
1770107159.484763,20,256
1770107159.488295,21,256
1770107159.494260,22,256
1770107159.502240,23,256
1770107159.506966,24,256
1770107159.508963,25,256
1770107159.510224,26,256
1770107159.517997,27,256
1770107159.518686,28,256
1770107159.521239,29,256
1770107159.521456,30,256
1770107159.521524,31,256
1770107159.521582,32,256
1770107159.521954,33,256
1770107159.522927,34,256
1770107159.524232,35,256
1770107159.525500,36,256
1770107159.527730,37,256
1770107159.529699,38,256
1770107159.529913,39,256
1770107159.530369,40,256
1770107159.534300,41,256
1770107159.538172,42,256
1770107159.538548,43,256
1770107159.538990,44,256
1770107159.543003,45,256
1770107159.545386,46,256
1770107159.545849,47,256
1770107159.550902,48,256
1770107159.552113,49,256
1770107159.552846,50,256
1770107159.558683,51,256
1770107159.560462,52,256
1770107159.562659,53,256
1770107159.563841,54,256
1770107159.563900,55,256
1770107159.567662,56,256
1770107159.578392,57,256
1770107159.578513,58,256
1770107159.582795,59,256
1770107159.583336,60,256
1770107159.584554,61,256
1770107159.584645,62,256
1770107159.585865,63,256
1770107159.586138,64,256
1770107159.586950,65,256
1770107159.587432,66,256
1770107159.588760,67,256
1770107159.589152,68,256
1770107159.590938,69,256
1770107159.591375,70,256
1770107159.594787,71,256
1770107159.597073,72,256
1770107159.599581,73,256
1770107159.599851,74,256
1770107159.603431,75,256
1770107159.604199,76,256
1770107159.604939,77,256
1770107159.605546,78,256
1770107159.607146,79,256
1770107159.610368,80,256
1770107159.611997,81,256
1770107159.614514,82,256
1770107159.616969,83,256
1770107159.619743,84,256
1770107159.619844,85,256
1770107159.622519,86,256
1770107159.623502,87,256
1770107159.627832,88,256
1770107159.631424,89,256
1770107159.633127,90,256
1770107159.633266,91,256
1770107159.633403,92,256
1770107159.635541,93,256
1770107159.635850,94,256
1770107159.637106,95,256
1770107159.637550,96,256
1770107159.640234,97,256
1770107159.641017,98,256
1770107159.641687,99,256
1770107159.644611,100,256
1770107159.646330,101,256
1770107159.657107,102,256
1770107159.658555,103,256
1770107159.659422,104,256
1770107159.664257,105,256
1770107159.664608,106,256
1770107159.666212,107,256
1770107159.666856,108,256
1770107159.668122,109,256
1770107159.672843,110,256
1770107159.674322,111,256
1770107159.681348,112,256
1770107159.682217,113,256
1770107159.685173,114,256
1770107159.686378,115,256
1770107159.688822,116,256
1770107159.690847,117,256
1770107159.700568,118,256
1770107159.702444,119,256
1770107159.703283,120,256
1770107159.709257,121,256
1770107159.711428,122,256
1770107159.711571,123,256
1770107159.712987,124,256
1770107159.713267,125,256
1770107159.714021,126,256
1770107159.718224,127,256
1770107159.720294,128,256
1770107159.720763,129,256
1770107159.720859,130,256
1770107159.722222,131,256
1770107159.724780,132,256
1770107159.725413,133,256
1770107159.729290,134,256
1770107159.733143,135,256
1770107159.736805,136,256
1770107159.739267,137,256
1770107159.741819,138,256
1770107159.742277,139,256
1770107159.746957,140,256
1770107159.747584,141,256
1770107159.751737,142,256
1770107159.755903,143,256
1770107159.757590,144,256
1770107159.760028,145,256
1770107159.764729,146,256
1770107159.766256,147,256
1770107159.766438,148,256
1770107159.769926,149,256
1770107159.770197,150,256
