t,backlog_bytes,backlog_pkts,dropped_total
0.012328,0,0,0
0.214440,0,0,0
0.416698,0,0,0
0.629073,0,0,0
0.831501,0,0,0
1.033775,0,0,0
1.236243,0,0,0
1.439220,0,0,0
1.641706,0,0,0
1.844918,0,0,0
2.050774,0,0,0
2.252747,0,0,0
2.454836,0,0,0
2.660605,0,0,0
2.864116,0,0,0
3.067381,0,0,0
3.270950,0,0,0
3.477365,0,0,0
3.681480,0,0,0
3.885456,0,0,0
4.090802,0,0,0
4.295785,0,0,0
4.501009,0,0,0
4.703318,0,0,0
4.917421,0,0,0
5.121765,0,0,0
5.326751,0,0,0
5.530921,0,0,0
5.733844,0,0,0
5.938294,0,0,0
6.143046,0,0,0
6.347785,0,0,0
6.552354,0,0,0
6.762221,0,0,0
6.964319,0,0,0
7.168667,0,0,0
7.372214,0,0,0
7.576736,0,0,0
7.779128,0,0,0
7.981166,0,0,0
8.185031,0,0,0
8.389031,0,0,0
8.600137,0,0,0
8.802738,0,0,0
9.004952,0,0,0
9.208550,0,0,0
9.413598,0,0,0
9.618343,0,0,0
9.820806,0,0,0
10.025304,0,0,0
10.231380,0,0,0
10.435414,0,0,0
10.639165,0,0,0
10.843476,0,0,0
11.045461,0,0,0
11.248860,0,0,0
11.456082,0,0,0
11.661212,0,0,0
11.864478,0,0,0
12.069504,0,0,0
12.279046,0,0,0
12.481419,0,0,0
12.686243,0,0,0
12.893719,0,0,0
13.105227,0,0,0
13.311207,0,0,0
13.516961,0,0,0
13.721755,0,0,0
13.930632,0,0,0
14.137182,0,0,0
14.341455,0,0,0
14.545981,0,0,0
14.750174,0,0,0
14.954109,0,0,0
15.157870,0,0,0
15.362161,0,0,0
15.566925,0,0,0
15.772142,0,0,0
15.978468,0,0,0
16.183175,0,0,0
16.388765,0,0,0
16.594541,0,0,0
16.798419,0,0,0
17.004374,0,0,0
17.209823,0,0,0
17.415902,0,0,0
17.621948,0,0,0
17.826598,0,0,0
18.031627,0,0,0
18.238140,0,0,0
18.442976,0,0,0
18.649054,0,0,0
18.854945,0,0,0
19.060462,0,0,0
19.266535,0,0,0
19.471324,0,0,0
19.676665,0,0,0
19.881878,0,0,0
20.086268,0,0,0
20.292249,0,0,0
20.497756,0,0,0
20.703854,0,0,0
20.908614,0,0,0
21.112209,0,0,0
21.317081,0,0,0
21.521004,0,0,0
21.725822,0,0,0
21.929064,0,0,0
22.132877,0,0,0
22.336054,0,0,0
22.540821,0,0,0
22.747895,0,0,0
22.952998,0,0,0
23.159258,0,0,0
23.365999,0,0,0
23.569205,0,0,0
23.775872,0,0,0
23.979731,0,0,0
24.186350,0,0,0
24.392753,0,0,0
24.597749,0,0,0
24.804671,0,0,0
25.010978,0,0,0
25.219788,0,0,0
25.424352,0,0,0
25.626611,0,0,0
25.831985,0,0,0
26.038529,0,0,0
26.245206,0,0,0
26.452798,0,0,0
26.658191,0,0,0
26.863555,0,0,0
