t_recv,seq,bytes,t_send,latency_ms
1765303572.847955,1,256,1765303572.826692,21.263
1765303572.848960,2,256,1765303572.828100,20.860
1765303572.849925,3,256,1765303572.829138,20.787
1765303572.858451,4,256,1765303572.837594,20.857
1765303572.861853,5,256,1765303572.840866,20.987
1765303572.862346,6,256,1765303572.841562,20.784
1765303572.863849,7,256,1765303572.842715,21.134
1765303572.875625,8,256,1765303572.854760,20.865
1765303572.878932,9,256,1765303572.858093,20.839
1765303572.884996,10,256,1765303572.864163,20.833
1765303572.894883,11,256,1765303572.873936,20.947
1765303572.895504,12,256,1765303572.874664,20.840
1765303572.898409,13,256,1765303572.877551,20.858
1765303572.904208,14,256,1765303572.883215,20.992
1765303572.905441,15,256,1765303572.884605,20.835
1765303572.907680,16,256,1765303572.886849,20.831
1765303572.908043,17,256,1765303572.887204,20.839
1765303572.910721,18,256,1765303572.889875,20.846
1765303572.920670,19,256,1765303572.899815,20.855
1765303572.922909,20,256,1765303572.901945,20.964
1765303572.923235,21,256,1765303572.902442,20.793
1765303572.925123,22,256,1765303572.904304,20.820
1765303572.928741,23,256,1765303572.907847,20.894
1765303572.931002,24,256,1765303572.910162,20.840
1765303572.931374,25,256,1765303572.910468,20.906
1765303572.934984,26,256,1765303572.914059,20.925
1765303572.936702,27,256,1765303572.915802,20.900
1765303572.944061,28,256,1765303572.923149,20.911
1765303572.944412,29,256,1765303572.923471,20.941
1765303572.946770,30,256,1765303572.925782,20.988
1765303572.947016,31,256,1765303572.926205,20.811
1765303572.947699,32,256,1765303572.926755,20.945
1765303572.960153,33,256,1765303572.939093,21.060
1765303572.965471,34,256,1765303572.944511,20.960
1765303572.969415,35,256,1765303572.948537,20.878
1765303572.973866,36,256,1765303572.953006,20.860
1765303572.976158,37,256,1765303572.955324,20.834
1765303572.984623,38,256,1765303572.963380,21.243
1765303572.984990,39,256,1765303572.963424,21.566
1765303572.985402,40,256,1765303572.963654,21.748
1765303572.989186,41,256,1765303572.968339,20.846
1765303572.991346,42,256,1765303572.970527,20.819
1765303572.999409,43,256,1765303572.978592,20.817
1765303572.999783,44,256,1765303572.979012,20.771
1765303573.000884,45,256,1765303572.980102,20.782
1765303573.002943,46,256,1765303572.982171,20.772
1765303573.005764,47,256,1765303572.984933,20.831
1765303573.011181,48,256,1765303572.990314,20.868
1765303573.012506,49,256,1765303572.991702,20.803
1765303573.024041,50,256,1765303573.003137,20.903
1765303573.026060,51,256,1765303573.005084,20.976
1765303573.031101,52,256,1765303573.010131,20.970
1765303573.036889,53,256,1765303573.016024,20.865
1765303573.038525,54,256,1765303573.017617,20.908
1765303573.040214,55,256,1765303573.019275,20.939
1765303573.040569,56,256,1765303573.019317,21.252
1765303573.047228,57,256,1765303573.026361,20.867
1765303573.052707,58,256,1765303573.031845,20.862
1765303573.054686,59,256,1765303573.033827,20.860
1765303573.056362,60,256,1765303573.035462,20.900
1765303573.060069,61,256,1765303573.039225,20.844
1765303573.060932,62,256,1765303573.040110,20.823
1765303573.064428,63,256,1765303573.043534,20.894
1765303573.065779,64,256,1765303573.044989,20.791
1765303573.070931,65,256,1765303573.049957,20.975
1765303573.071551,66,256,1765303573.050752,20.799
1765303573.073424,67,256,1765303573.052444,20.980
1765303573.075356,68,256,1765303573.054347,21.009
