t_recv,seq,bytes,t_send,latency_ms
1765303572.867344,1,256,1765303572.835398,31.946
1765303572.867702,2,256,1765303572.836274,31.428
1765303572.873910,3,256,1765303572.842543,31.367
1765303572.874670,4,256,1765303572.842885,31.785
1765303572.880302,5,256,1765303572.848928,31.374
1765303572.881205,6,256,1765303572.849825,31.381
1765303572.882979,7,256,1765303572.851580,31.399
1765303572.883373,8,256,1765303572.852056,31.317
1765303572.886551,9,256,1765303572.854836,31.714
1765303572.888798,10,256,1765303572.857405,31.393
1765303572.890841,11,256,1765303572.859304,31.537
1765303572.901284,12,256,1765303572.869813,31.470
1765303572.906818,13,256,1765303572.875402,31.416
1765303572.909403,14,256,1765303572.877890,31.512
1765303572.911999,15,256,1765303572.880630,31.368
1765303572.914986,16,256,1765303572.883405,31.581
1765303572.917088,17,256,1765303572.885722,31.366
1765303572.921976,18,256,1765303572.890559,31.416
1765303572.923982,19,256,1765303572.892605,31.377
1765303572.924654,20,256,1765303572.893310,31.344
1765303572.932507,21,256,1765303572.901028,31.480
1765303572.938173,22,256,1765303572.906720,31.453
1765303572.938532,23,256,1765303572.907127,31.405
1765303572.939005,24,256,1765303572.907495,31.510
1765303572.940719,25,256,1765303572.909289,31.431
1765303572.951477,26,256,1765303572.920048,31.430
1765303572.958675,27,256,1765303572.926970,31.705
1765303572.960642,28,256,1765303572.929281,31.361
1765303572.975126,29,256,1765303572.943631,31.495
1765303572.980305,30,256,1765303572.948832,31.473
1765303572.981406,31,256,1765303572.950053,31.353
1765303572.981855,32,256,1765303572.950467,31.388
1765303572.990682,33,256,1765303572.959297,31.385
1765303572.991545,34,256,1765303572.960201,31.344
1765303572.994408,35,256,1765303572.963022,31.386
1765303572.994871,36,256,1765303572.963055,31.816
1765303572.997842,37,256,1765303572.966465,31.377
1765303572.998509,38,256,1765303572.967153,31.357
1765303573.000098,39,256,1765303572.968594,31.504
1765303573.004182,40,256,1765303572.972807,31.375
1765303573.008935,41,256,1765303572.977532,31.403
1765303573.011863,42,256,1765303572.980373,31.489
1765303573.018389,43,256,1765303572.986967,31.422
1765303573.044376,44,256,1765303573.012976,31.400
1765303573.051850,45,256,1765303573.020425,31.425
1765303573.052921,46,256,1765303573.021547,31.374
1765303573.053422,47,256,1765303573.021580,31.843
1765303573.054006,48,256,1765303573.022636,31.370
1765303573.090387,49,256,1765303573.058950,31.436
1765303573.092212,50,256,1765303573.060839,31.373
1765303573.098399,51,256,1765303573.067021,31.378
1765303573.099511,52,256,1765303573.067986,31.525
1765303573.099967,53,256,1765303573.068473,31.494
1765303573.110312,54,256,1765303573.078866,31.445
1765303573.112605,55,256,1765303573.081159,31.445
1765303573.118794,56,256,1765303573.087348,31.447
1765303573.120157,57,256,1765303573.088628,31.528
1765303573.124450,58,256,1765303573.093043,31.407
1765303573.131351,59,256,1765303573.099934,31.417
1765303573.134681,60,256,1765303573.102983,31.697
1765303573.138050,61,256,1765303573.106622,31.428
1765303573.139423,62,256,1765303573.108007,31.416
1765303573.145979,63,256,1765303573.114340,31.639
