t_send,seq,bytes
1765303572.833834,1,256
1765303572.834524,2,256
1765303572.834955,3,256
1765303572.835233,4,256
1765303572.836025,5,256
1765303572.838562,6,256
1765303572.838960,7,256
1765303572.841544,8,256
1765303572.841601,9,256
1765303572.842085,10,256
1765303572.842635,11,256
1765303572.842919,12,256
1765303572.851726,13,256
1765303572.852653,14,256
1765303572.860552,15,256
1765303572.865072,16,256
1765303572.865646,17,256
1765303572.866665,18,256
1765303572.871290,19,256
1765303572.871356,20,256
1765303572.876589,21,256
1765303572.885545,22,256
1765303572.887236,23,256
1765303572.891093,24,256
1765303572.894727,25,256
1765303572.901017,26,256
1765303572.905608,27,256
1765303572.905674,28,256
1765303572.907624,29,256
1765303572.908652,30,256
1765303572.911933,31,256
1765303572.914062,32,256
1765303572.917003,33,256
1765303572.919344,34,256
1765303572.921877,35,256
1765303572.922441,36,256
1765303572.922463,37,256
1765303572.924722,38,256
1765303572.924751,39,256
1765303572.925778,40,256
1765303572.926039,41,256
1765303572.928261,42,256
1765303572.928603,43,256
1765303572.933674,44,256
1765303572.939238,45,256
1765303572.940769,46,256
1765303572.944788,47,256
1765303572.946562,48,256
1765303572.950866,49,256
1765303572.957685,50,256
1765303572.959463,51,256
1765303572.961586,52,256
1765303572.963410,53,256
1765303572.964572,54,256
1765303572.968625,55,256
1765303572.968974,56,256
1765303572.972068,57,256
1765303572.975092,58,256
1765303572.977405,59,256
1765303572.981506,60,256
1765303572.981558,61,256
1765303572.981801,62,256
1765303572.982007,63,256
1765303572.984318,64,256
1765303572.984627,65,256
1765303572.989554,66,256
1765303572.991106,67,256
1765303572.994023,68,256
1765303572.994247,69,256
1765303572.995775,70,256
1765303572.999009,71,256
1765303573.000478,72,256
1765303573.002861,73,256
1765303573.003029,74,256
1765303573.006663,75,256
1765303573.008805,76,256
1765303573.009186,77,256
1765303573.010029,78,256
1765303573.010228,79,256
1765303573.010644,80,256
1765303573.016793,81,256
1765303573.017777,82,256
1765303573.018927,83,256
1765303573.019177,84,256
1765303573.019585,85,256
1765303573.019702,86,256
1765303573.026369,87,256
1765303573.027431,88,256
1765303573.027458,89,256
1765303573.027471,90,256
1765303573.027777,91,256
1765303573.033681,92,256
1765303573.037826,93,256
1765303573.041116,94,256
1765303573.041161,95,256
1765303573.041338,96,256
1765303573.041353,97,256
1765303573.044289,98,256
1765303573.046645,99,256
1765303573.046704,100,256
1765303573.048807,101,256
1765303573.049358,102,256
1765303573.052622,103,256
1765303573.054642,104,256
1765303573.057369,105,256
1765303573.059550,106,256
1765303573.059582,107,256
1765303573.060835,108,256
1765303573.061438,109,256
1765303573.064595,110,256
1765303573.066908,111,256
1765303573.068714,112,256
1765303573.068740,113,256
1765303573.074802,114,256
1765303573.076458,115,256
1765303573.076488,116,256
1765303573.082943,117,256
1765303573.088957,118,256
1765303573.090311,119,256
1765303573.091754,120,256
1765303573.096154,121,256
1765303573.103258,122,256
1765303573.105309,123,256
1765303573.105395,124,256
1765303573.105802,125,256
1765303573.107527,126,256
1765303573.107573,127,256
1765303573.108788,128,256
1765303573.113505,129,256
1765303573.113592,130,256
1765303573.115016,131,256
1765303573.116192,132,256
1765303573.118129,133,256
1765303573.118812,134,256
1765303573.138327,135,256
1765303573.141539,136,256
1765303573.145134,137,256
1765303573.149658,138,256
1765303573.150263,139,256
1765303573.152002,140,256
1765303573.155753,141,256
1765303573.157483,142,256
1765303573.161928,143,256
1765303573.162091,144,256
1765303573.163695,145,256
1765303573.163815,146,256
1765303573.164850,147,256
1765303573.169489,148,256
1765303573.171330,149,256
1765303573.171436,150,256
1765303573.172681,151,256
1765303573.173516,152,256
1765303573.182964,153,256
1765303573.184081,154,256
1765303573.185279,155,256
1765303573.186666,156,256
1765303573.188563,157,256
1765303573.190830,158,256
1765303573.190895,159,256
1765303573.190974,160,256
1765303573.191359,161,256
1765303573.192229,162,256
1765303573.192335,163,256
1765303573.194052,164,256
1765303573.195300,165,256
1765303573.196286,166,256
1765303573.198218,167,256
1765303573.199792,168,256
1765303573.202754,169,256
1765303573.204212,170,256
1765303573.212690,171,256
1765303573.213658,172,256
1765303573.214383,173,256
1765303573.218859,174,256
1765303573.220369,175,256
1765303573.224333,176,256
1765303573.224976,177,256
1765303573.225375,178,256
1765303573.229262,179,256
1765303573.229435,180,256
1765303573.229563,181,256
1765303573.232950,182,256
1765303573.239172,183,256
1765303573.243042,184,256
1765303573.245200,185,256
1765303573.245755,186,256
1765303573.246792,187,256
1765303573.247346,188,256
1765303573.247674,189,256
1765303573.247955,190,256
1765303573.267685,191,256
1765303573.267765,192,256
1765303573.267788,193,256
1765303573.269262,194,256
1765303573.269309,195,256
1765303573.270054,196,256
1765303573.277214,197,256
1765303573.277641,198,256
1765303573.277673,199,256
1765303573.287050,200,256
1765303573.287308,201,256
1765303573.289738,202,256
1765303573.289815,203,256
1765303573.290149,204,256
1765303573.291914,205,256
1765303573.293084,206,256
1765303573.293595,207,256
1765303573.295736,208,256
1765303573.297778,209,256
1765303573.298057,210,256
1765303573.301552,211,256
1765303573.304811,212,256
1765303573.306558,213,256
1765303573.307308,214,256
1765303573.313699,215,256
1765303573.313898,216,256
1765303573.315297,217,256
1765303573.316787,218,256
1765303573.317886,219,256
1765303573.318250,220,256
1765303573.321143,221,256
1765303573.321508,222,256
1765303573.322168,223,256
1765303573.323385,224,256
1765303573.323424,225,256
1765303573.327261,226,256
1765303573.327543,227,256
1765303573.330219,228,256
1765303573.330458,229,256
1765303573.333000,230,256
1765303573.336473,231,256
1765303573.338105,232,256
1765303573.338155,233,256
1765303573.343227,234,256
1765303573.343386,235,256
1765303573.343778,236,256
1765303573.347549,237,256
1765303573.348920,238,256
1765303573.349861,239,256
1765303573.356304,240,256
1765303573.357923,241,256
1765303573.359360,242,256
1765303573.361595,243,256
1765303573.362914,244,256
1765303573.366232,245,256
1765303573.371331,246,256
1765303573.372278,247,256
1765303573.372476,248,256
1765303573.373334,249,256
1765303573.374872,250,256
1765303573.376717,251,256
1765303573.376768,252,256
1765303573.377152,253,256
1765303573.378074,254,256
1765303573.378130,255,256
1765303573.378793,256,256
1765303573.379790,257,256
1765303573.380863,258,256
1765303573.384261,259,256
1765303573.387518,260,256
1765303573.401867,261,256
1765303573.401937,262,256
1765303573.402869,263,256
1765303573.403179,264,256
1765303573.404388,265,256
1765303573.404864,266,256
1765303573.405756,267,256
1765303573.407133,268,256
1765303573.407794,269,256
1765303573.410651,270,256
1765303573.416445,271,256
1765303573.425108,272,256
1765303573.426880,273,256
1765303573.428683,274,256
1765303573.429178,275,256
1765303573.434480,276,256
1765303573.435284,277,256
1765303573.435696,278,256
1765303573.438693,279,256
1765303573.444157,280,256
1765303573.444978,281,256
1765303573.446704,282,256
1765303573.447289,283,256
1765303573.451732,284,256
1765303573.453082,285,256
1765303573.455221,286,256
1765303573.456573,287,256
1765303573.457492,288,256
1765303573.457614,289,256
1765303573.458783,290,256
1765303573.463218,291,256
1765303573.468887,292,256
1765303573.469395,293,256
1765303573.473011,294,256
1765303573.476736,295,256
1765303573.480227,296,256
1765303573.480388,297,256
1765303573.481222,298,256
1765303573.483996,299,256
1765303573.484506,300,256
1765303573.484571,301,256
1765303573.491581,302,256
1765303573.491790,303,256
1765303573.499637,304,256
1765303573.499772,305,256
1765303573.501889,306,256
1765303573.504256,307,256
1765303573.505540,308,256
1765303573.510773,309,256
1765303573.516284,310,256
1765303573.517093,311,256
1765303573.517990,312,256
1765303573.519983,313,256
1765303573.521287,314,256
1765303573.522407,315,256
1765303573.523184,316,256
1765303573.530747,317,256
1765303573.530887,318,256
1765303573.532333,319,256
1765303573.533042,320,256
1765303573.533073,321,256
1765303573.535377,322,256
1765303573.535428,323,256
1765303573.538688,324,256
1765303573.540354,325,256
1765303573.543971,326,256
1765303573.549785,327,256
1765303573.550774,328,256
1765303573.550819,329,256
1765303573.552045,330,256
1765303573.552803,331,256
1765303573.554395,332,256
1765303573.556728,333,256
1765303573.557326,334,256
1765303573.559077,335,256
1765303573.561838,336,256
1765303573.563510,337,256
1765303573.565227,338,256
1765303573.565818,339,256
1765303573.565920,340,256
1765303573.568209,341,256
1765303573.571255,342,256
1765303573.574915,343,256
1765303573.575720,344,256
1765303573.577059,345,256
1765303573.579074,346,256
1765303573.579116,347,256
1765303573.580203,348,256
1765303573.580526,349,256
1765303573.584925,350,256
1765303573.587634,351,256
1765303573.588842,352,256
1765303573.589762,353,256
1765303573.589782,354,256
1765303573.596412,355,256
1765303573.597141,356,256
1765303573.597974,357,256
1765303573.598756,358,256
1765303573.598778,359,256
1765303573.603324,360,256
1765303573.604352,361,256
1765303573.605516,362,256
1765303573.609780,363,256
1765303573.610130,364,256
1765303573.612571,365,256
1765303573.615106,366,256
1765303573.616799,367,256
1765303573.616839,368,256
1765303573.617009,369,256
1765303573.617485,370,256
1765303573.624103,371,256
1765303573.624148,372,256
1765303573.625893,373,256
1765303573.626914,374,256
1765303573.627585,375,256
1765303573.629854,376,256
1765303573.629879,377,256
1765303573.631940,378,256
1765303573.633754,379,256
1765303573.633792,380,256
1765303573.634037,381,256
1765303573.635429,382,256
1765303573.635668,383,256
1765303573.637047,384,256
1765303573.641725,385,256
1765303573.643824,386,256
1765303573.643941,387,256
1765303573.645800,388,256
1765303573.646133,389,256
1765303573.647740,390,256
1765303573.649983,391,256
1765303573.651801,392,256
1765303573.652402,393,256
1765303573.661514,394,256
1765303573.662682,395,256
1765303573.662914,396,256
1765303573.664286,397,256
1765303573.666133,398,256
1765303573.669328,399,256
1765303573.670238,400,256
1765303573.671463,401,256
1765303573.673953,402,256
1765303573.675153,403,256
1765303573.676822,404,256
1765303573.678078,405,256
1765303573.679060,406,256
1765303573.680401,407,256
1765303573.683522,408,256
1765303573.684334,409,256
1765303573.684509,410,256
1765303573.686687,411,256
1765303573.687453,412,256
1765303573.690920,413,256
1765303573.691457,414,256
1765303573.692765,415,256
1765303573.693376,416,256
1765303573.697163,417,256
1765303573.700128,418,256
1765303573.702558,419,256
1765303573.703401,420,256
1765303573.704535,421,256
1765303573.705595,422,256
1765303573.708491,423,256
1765303573.718406,424,256
1765303573.718714,425,256
1765303573.719656,426,256
1765303573.721567,427,256
1765303573.727031,428,256
1765303573.727076,429,256
1765303573.728986,430,256
1765303573.729934,431,256
1765303573.733396,432,256
1765303573.738313,433,256
1765303573.740012,434,256
1765303573.742796,435,256
1765303573.743561,436,256
1765303573.744604,437,256
1765303573.745437,438,256
1765303573.745794,439,256
1765303573.747995,440,256
1765303573.749616,441,256
1765303573.749662,442,256
1765303573.749842,443,256
1765303573.750343,444,256
1765303573.750721,445,256
1765303573.752500,446,256
1765303573.755865,447,256
1765303573.761440,448,256
1765303573.763603,449,256
1765303573.764113,450,256
1765303573.764554,451,256
1765303573.765804,452,256
1765303573.766690,453,256
1765303573.768145,454,256
1765303573.769769,455,256
1765303573.775882,456,256
1765303573.786834,457,256
1765303573.789778,458,256
1765303573.790498,459,256
1765303573.791267,460,256
1765303573.792236,461,256
1765303573.797072,462,256
1765303573.797342,463,256
1765303573.797848,464,256
1765303573.798181,465,256
1765303573.799685,466,256
1765303573.801681,467,256
1765303573.807671,468,256
1765303573.810497,469,256
1765303573.811034,470,256
1765303573.814632,471,256
1765303573.821069,472,256
1765303573.821348,473,256
1765303573.821520,474,256
1765303573.821937,475,256
1765303573.826864,476,256
1765303573.827269,477,256
1765303573.828474,478,256
1765303573.829321,479,256
1765303573.839737,480,256
1765303573.839906,481,256
1765303573.841044,482,256
1765303573.842814,483,256
1765303573.844517,484,256
1765303573.848917,485,256
1765303573.850892,486,256
1765303573.851471,487,256
1765303573.852637,488,256
1765303573.854439,489,256
1765303573.857069,490,256
1765303573.862824,491,256
1765303573.863911,492,256
1765303573.864184,493,256
1765303573.866393,494,256
1765303573.866432,495,256
1765303573.868613,496,256
1765303573.869514,497,256
1765303573.871769,498,256
1765303573.872208,499,256
1765303573.873301,500,256
1765303573.876959,501,256
1765303573.880546,502,256
1765303573.880718,503,256
1765303573.881074,504,256
1765303573.882930,505,256
1765303573.885682,506,256
1765303573.886471,507,256
1765303573.889632,508,256
1765303573.890499,509,256
1765303573.896760,510,256
1765303573.896845,511,256
1765303573.897609,512,256
1765303573.897894,513,256
1765303573.899740,514,256
1765303573.899805,515,256
1765303573.903477,516,256
1765303573.904374,517,256
1765303573.908617,518,256
1765303573.913270,519,256
1765303573.914467,520,256
1765303573.914491,521,256
1765303573.915615,522,256
1765303573.916553,523,256
1765303573.925400,524,256
1765303573.929608,525,256
1765303573.929656,526,256
1765303573.930486,527,256
1765303573.931270,528,256
1765303573.932415,529,256
1765303573.934119,530,256
1765303573.935443,531,256
1765303573.936311,532,256
1765303573.937769,533,256
1765303573.939434,534,256
1765303573.949311,535,256
1765303573.950556,536,256
1765303573.953852,537,256
1765303573.956634,538,256
1765303573.956746,539,256
1765303573.962256,540,256
1765303573.962858,541,256
1765303573.965508,542,256
1765303573.967974,543,256
1765303573.970547,544,256
1765303573.970578,545,256
1765303573.971008,546,256
1765303573.972046,547,256
1765303573.973339,548,256
1765303573.977993,549,256
1765303573.983842,550,256
1765303573.987104,551,256
1765303573.989231,552,256
1765303573.993259,553,256
1765303573.993994,554,256
1765303573.994210,555,256
1765303573.994693,556,256
1765303574.001218,557,256
1765303574.004024,558,256
1765303574.005583,559,256
1765303574.006114,560,256
1765303574.009275,561,256
1765303574.011030,562,256
1765303574.014847,563,256
1765303574.016398,564,256
1765303574.018726,565,256
1765303574.021516,566,256
1765303574.022013,567,256
1765303574.023399,568,256
1765303574.027313,569,256
1765303574.027818,570,256
1765303574.028486,571,256
1765303574.029784,572,256
1765303574.031934,573,256
1765303574.035544,574,256
1765303574.039562,575,256
1765303574.040429,576,256
1765303574.041830,577,256
1765303574.043307,578,256
1765303574.044559,579,256
1765303574.047151,580,256
1765303574.047304,581,256
1765303574.047606,582,256
1765303574.052638,583,256
1765303574.055008,584,256
1765303574.057502,585,256
1765303574.058812,586,256
1765303574.058844,587,256
1765303574.060192,588,256
1765303574.060520,589,256
1765303574.062211,590,256
1765303574.063719,591,256
1765303574.071549,592,256
1765303574.072506,593,256
1765303574.072695,594,256
1765303574.082706,595,256
1765303574.083401,596,256
1765303574.083508,597,256
1765303574.083591,598,256
1765303574.092044,599,256
1765303574.092991,600,256
1765303574.093562,601,256
1765303574.097050,602,256
1765303574.097500,603,256
1765303574.103210,604,256
1765303574.103762,605,256
1765303574.107379,606,256
1765303574.107455,607,256
1765303574.108875,608,256
1765303574.110492,609,256
1765303574.111829,610,256
1765303574.111943,611,256
1765303574.113096,612,256
1765303574.114626,613,256
1765303574.114818,614,256
1765303574.115369,615,256
1765303574.118484,616,256
1765303574.119845,617,256
1765303574.121721,618,256
1765303574.124938,619,256
1765303574.127633,620,256
1765303574.127829,621,256
1765303574.129802,622,256
1765303574.130058,623,256
1765303574.133824,624,256
1765303574.136598,625,256
1765303574.137837,626,256
1765303574.139184,627,256
1765303574.139206,628,256
1765303574.140923,629,256
1765303574.142378,630,256
1765303574.143036,631,256
1765303574.145619,632,256
1765303574.145687,633,256
1765303574.145720,634,256
1765303574.146845,635,256
1765303574.147882,636,256
1765303574.148120,637,256
1765303574.149163,638,256
1765303574.152162,639,256
1765303574.153418,640,256
1765303574.154977,641,256
1765303574.156606,642,256
1765303574.158034,643,256
1765303574.160970,644,256
1765303574.162220,645,256
1765303574.166562,646,256
1765303574.173872,647,256
1765303574.176403,648,256
1765303574.178937,649,256
1765303574.184060,650,256
1765303574.186602,651,256
1765303574.187844,652,256
1765303574.188210,653,256
1765303574.189215,654,256
1765303574.190337,655,256
1765303574.194472,656,256
1765303574.194804,657,256
1765303574.196738,658,256
1765303574.196900,659,256
1765303574.197692,660,256
1765303574.198986,661,256
1765303574.199139,662,256
1765303574.201175,663,256
1765303574.201934,664,256
1765303574.207489,665,256
1765303574.207809,666,256
1765303574.209071,667,256
1765303574.211249,668,256
1765303574.217460,669,256
1765303574.218033,670,256
1765303574.220101,671,256
1765303574.220387,672,256
1765303574.222387,673,256
1765303574.230269,674,256
1765303574.231359,675,256
1765303574.231947,676,256
1765303574.232214,677,256
1765303574.240738,678,256
1765303574.245596,679,256
1765303574.248549,680,256
1765303574.256795,681,256
1765303574.262376,682,256
1765303574.270760,683,256
1765303574.271683,684,256
1765303574.273056,685,256
1765303574.273951,686,256
1765303574.282428,687,256
1765303574.283116,688,256
1765303574.287396,689,256
1765303574.291620,690,256
1765303574.291911,691,256
1765303574.294578,692,256
1765303574.294829,693,256
1765303574.295227,694,256
1765303574.296199,695,256
1765303574.299589,696,256
1765303574.299676,697,256
1765303574.301979,698,256
1765303574.302141,699,256
1765303574.302243,700,256
1765303574.305717,701,256
1765303574.306103,702,256
1765303574.306331,703,256
1765303574.306932,704,256
1765303574.308827,705,256
1765303574.312807,706,256
1765303574.313177,707,256
1765303574.318805,708,256
1765303574.319444,709,256
1765303574.319606,710,256
1765303574.323301,711,256
1765303574.326284,712,256
1765303574.326344,713,256
1765303574.330093,714,256
1765303574.331161,715,256
1765303574.331806,716,256
1765303574.333562,717,256
1765303574.334833,718,256
1765303574.334883,719,256
1765303574.335782,720,256
1765303574.335832,721,256
1765303574.336218,722,256
1765303574.339136,723,256
1765303574.339292,724,256
1765303574.340785,725,256
1765303574.342291,726,256
1765303574.342699,727,256
1765303574.343721,728,256
1765303574.345586,729,256
1765303574.352473,730,256
1765303574.353801,731,256
1765303574.354313,732,256
1765303574.355748,733,256
1765303574.355886,734,256
1765303574.358427,735,256
1765303574.362279,736,256
1765303574.362812,737,256
1765303574.366140,738,256
1765303574.369966,739,256
1765303574.370754,740,256
1765303574.374097,741,256
1765303574.376621,742,256
1765303574.376916,743,256
1765303574.377719,744,256
1765303574.378122,745,256
1765303574.378836,746,256
1765303574.378899,747,256
1765303574.389209,748,256
1765303574.390195,749,256
1765303574.391305,750,256
1765303574.391359,751,256
1765303574.391870,752,256
1765303574.405737,753,256
1765303574.405827,754,256
1765303574.407471,755,256
1765303574.411047,756,256
1765303574.411946,757,256
1765303574.412996,758,256
1765303574.413316,759,256
1765303574.416177,760,256
1765303574.417397,761,256
1765303574.417552,762,256
1765303574.420619,763,256
1765303574.422178,764,256
1765303574.423581,765,256
1765303574.425333,766,256
1765303574.429753,767,256
1765303574.432058,768,256
1765303574.434624,769,256
1765303574.436107,770,256
1765303574.440348,771,256
1765303574.440835,772,256
1765303574.441909,773,256
1765303574.445619,774,256
1765303574.445654,775,256
1765303574.448254,776,256
1765303574.451656,777,256
1765303574.454096,778,256
1765303574.454615,779,256
1765303574.456788,780,256
1765303574.457015,781,256
1765303574.458420,782,256
1765303574.459430,783,256
1765303574.462822,784,256
1765303574.469705,785,256
1765303574.470753,786,256
1765303574.473339,787,256
1765303574.476824,788,256
1765303574.479241,789,256
1765303574.479994,790,256
1765303574.485658,791,256
1765303574.489420,792,256
1765303574.491235,793,256
1765303574.491447,794,256
1765303574.492186,795,256
1765303574.500174,796,256
1765303574.501764,797,256
1765303574.501928,798,256
1765303574.502171,799,256
1765303574.513019,800,256
1765303574.519431,801,256
1765303574.520276,802,256
1765303574.520307,803,256
1765303574.524756,804,256
1765303574.526107,805,256
1765303574.526554,806,256
1765303574.527371,807,256
1765303574.527786,808,256
1765303574.529844,809,256
1765303574.532496,810,256
1765303574.542040,811,256
1765303574.543571,812,256
1765303574.550520,813,256
1765303574.550590,814,256
1765303574.552911,815,256
1765303574.553134,816,256
1765303574.556006,817,256
1765303574.557783,818,256
1765303574.559100,819,256
1765303574.559577,820,256
1765303574.564210,821,256
1765303574.564652,822,256
1765303574.567122,823,256
1765303574.567778,824,256
1765303574.569968,825,256
1765303574.573632,826,256
1765303574.574491,827,256
1765303574.576402,828,256
1765303574.577822,829,256
1765303574.580395,830,256
1765303574.582222,831,256
1765303574.586754,832,256
1765303574.587861,833,256
1765303574.588767,834,256
1765303574.590658,835,256
1765303574.591565,836,256
1765303574.594223,837,256
1765303574.595249,838,256
1765303574.596796,839,256
1765303574.596988,840,256
1765303574.597867,841,256
1765303574.598775,842,256
1765303574.599179,843,256
1765303574.601590,844,256
1765303574.603000,845,256
1765303574.605024,846,256
1765303574.606390,847,256
1765303574.607579,848,256
1765303574.613233,849,256
1765303574.613265,850,256
1765303574.613378,851,256
1765303574.615329,852,256
1765303574.615786,853,256
1765303574.616073,854,256
1765303574.617157,855,256
1765303574.620044,856,256
1765303574.621152,857,256
1765303574.623110,858,256
1765303574.626610,859,256
1765303574.631862,860,256
1765303574.632716,861,256
1765303574.633508,862,256
1765303574.637022,863,256
1765303574.637659,864,256
1765303574.639040,865,256
1765303574.642055,866,256
1765303574.642399,867,256
1765303574.644735,868,256
1765303574.645003,869,256
1765303574.647578,870,256
1765303574.653177,871,256
1765303574.653539,872,256
1765303574.654850,873,256
1765303574.655695,874,256
1765303574.661628,875,256
1765303574.661877,876,256
1765303574.665833,877,256
1765303574.669980,878,256
1765303574.670092,879,256
1765303574.673373,880,256
1765303574.673488,881,256
1765303574.674100,882,256
1765303574.674252,883,256
1765303574.675225,884,256
1765303574.680837,885,256
1765303574.681841,886,256
1765303574.682685,887,256
1765303574.683293,888,256
1765303574.686657,889,256
1765303574.687915,890,256
1765303574.691519,891,256
1765303574.692397,892,256
1765303574.697747,893,256
1765303574.702174,894,256
1765303574.706136,895,256
1765303574.706666,896,256
1765303574.712116,897,256
1765303574.713582,898,256
1765303574.714037,899,256
1765303574.714997,900,256
