t,backlog_bytes,backlog_pkts,dropped_total
1764871372.626873,0,0,0
1764871372.830196,984,4,0
1764871373.035644,894,3,0
1764871373.241782,1192,4,0
1764871373.447740,894,3,0
1764871373.652902,894,3,0
1764871373.858665,894,3,0
1764871374.065087,1192,4,0
1764871374.270149,894,3,0
1764871374.475504,894,3,0
1764871374.681336,1192,4,0
1764871374.886632,894,3,0
1764871375.091078,1192,4,0
1764871375.296646,894,3,0
1764871375.502512,894,3,0
1764871375.708781,894,3,0
1764871375.914896,1192,4,0
1764871376.120184,894,3,0
1764871376.326416,894,3,0
1764871376.530755,894,3,0
1764871376.735705,894,3,0
1764871376.941476,1192,4,0
1764871377.147171,894,3,0
1764871377.352479,894,3,0
1764871377.558804,894,3,0
1764871377.763068,894,3,0
1764871377.969491,894,3,0
1764871378.176498,894,3,0
1764871378.382180,894,3,0
1764871378.586956,894,3,0
1764871378.793396,894,3,0
1764871378.999367,894,3,0
1764871379.205134,894,3,0
1764871379.410908,894,3,0
1764871379.617151,894,3,0
1764871379.823408,894,3,0
1764871380.029315,894,3,0
1764871380.235587,894,3,0
1764871380.440414,894,3,0
1764871380.646228,894,3,0
1764871380.852554,894,3,0
1764871381.057767,1192,4,0
1764871381.263094,894,3,0
1764871381.470195,894,3,0
1764871381.675898,894,3,0
1764871381.882915,894,3,0
1764871382.089197,894,3,0
1764871382.299428,894,3,0
1764871382.506216,894,3,0
1764871382.712153,894,3,0
1764871382.917904,1192,4,0
1764871383.123853,894,3,0
1764871383.329841,894,3,0
1764871383.536004,894,3,0
1764871383.741528,1192,4,0
1764871383.947258,894,3,0
1764871384.152907,894,3,0
1764871384.359086,894,3,0
1764871384.565341,894,3,0
1764871384.770859,894,3,0
1764871384.977122,894,3,0
1764871385.182471,894,3,0
1764871385.387403,894,3,0
1764871385.593388,894,3,0
1764871385.801381,894,3,0
1764871386.007848,894,3,0
1764871386.217922,1192,4,0
1764871386.423977,894,3,0
1764871386.631323,1192,4,0
1764871386.836623,894,3,0
1764871387.042114,894,3,0
1764871387.248572,894,3,0
1764871387.452880,894,3,0
1764871387.657837,1192,4,0
1764871387.862108,894,3,0
1764871388.068143,1192,4,0
1764871388.273239,894,3,0
1764871388.478067,1192,4,0
1764871388.683365,894,3,0
1764871388.890188,894,3,0
1764871389.096020,894,3,0
1764871389.304038,894,3,0
1764871389.510244,894,3,0
1764871389.715695,894,3,0
1764871389.922121,894,3,0
1764871390.128631,894,3,0
1764871390.334834,1192,4,0
1764871390.540666,894,3,0
1764871390.747482,894,3,0
1764871390.952887,894,3,0
1764871391.158254,1192,4,0
1764871391.364156,894,3,0
1764871391.570085,894,3,0
1764871391.776469,894,3,0
1764871391.982386,894,3,0
1764871392.188448,894,3,0
1764871392.393835,894,3,0
1764871392.600019,894,3,0
1764871392.807264,0,0,0
1764871393.012752,0,0,0
1764871393.218033,0,0,0
1764871393.425413,0,0,0
1764871393.630876,0,0,0
1764871393.836466,0,0,0
1764871394.042405,0,0,0
1764871394.247087,0,0,0
1764871394.451349,0,0,0
