t,backlog_bytes,backlog_pkts,dropped_total
1762308149.528019,0,0,0
1762308149.734754,298,1,0
1762308149.940338,298,1,0
1762308150.145306,298,1,0
1762308150.352756,596,2,0
1762308150.560354,298,1,0
1762308150.766381,298,1,0
1762308150.972512,544,2,0
1762308151.178161,298,1,0
1762308151.384616,298,1,0
1762308151.591235,298,1,0
1762308151.797564,298,1,0
1762308152.004113,298,1,0
1762308152.207424,298,1,0
1762308152.413925,298,1,0
1762308152.620384,298,1,0
1762308152.826662,298,1,0
1762308153.031643,298,1,0
1762308153.237547,298,1,0
1762308153.442704,298,1,0
1762308153.646019,298,1,0
1762308153.852023,596,2,0
1762308154.058765,298,1,0
1762308154.265181,298,1,0
1762308154.471584,298,1,0
1762308154.677509,298,1,0
1762308154.884472,298,1,0
1762308155.089948,298,1,0
1762308155.296770,298,1,0
1762308155.502121,596,2,0
1762308155.705506,298,1,0
1762308155.911736,298,1,0
1762308156.118848,298,1,0
1762308156.323599,298,1,0
1762308156.529763,298,1,0
1762308156.735673,298,1,0
1762308156.942410,596,2,0
1762308157.148842,298,1,0
1762308157.355133,298,1,0
1762308157.563108,298,1,0
1762308157.768955,298,1,0
1762308157.975347,298,1,0
1762308158.181460,298,1,0
1762308158.387714,298,1,0
1762308158.594475,298,1,0
1762308158.801420,298,1,0
1762308159.008076,298,1,0
1762308159.213939,298,1,0
1762308159.420308,298,1,0
1762308159.627246,298,1,0
1762308159.833725,298,1,0
1762308160.040518,298,1,0
1762308160.245367,298,1,0
1762308160.451895,298,1,0
1762308160.657007,298,1,0
1762308160.863443,298,1,0
1762308161.069716,298,1,0
1762308161.275343,298,1,0
1762308161.482554,596,2,0
1762308161.689040,298,1,0
1762308161.894840,298,1,0
1762308162.100790,298,1,0
1762308162.307418,298,1,0
1762308162.514955,368,2,0
1762308162.720985,298,1,0
1762308162.927369,298,1,0
1762308163.134181,298,1,0
1762308163.340747,298,1,0
1762308163.548509,298,1,0
1762308163.754054,298,1,0
1762308163.960748,298,1,0
1762308164.167992,298,1,0
1762308164.374426,298,1,0
1762308164.581994,298,1,0
1762308164.788145,298,1,0
1762308164.994097,298,1,0
1762308165.198851,298,1,0
1762308165.406414,298,1,0
1762308165.611837,596,2,0
1762308165.819288,298,1,0
1762308166.024733,298,1,0
1762308166.229781,298,1,0
1762308166.435550,298,1,0
1762308166.641376,298,1,0
1762308166.845670,298,1,0
1762308167.052948,298,1,0
1762308167.258124,298,1,0
1762308167.464092,298,1,0
1762308167.669312,298,1,0
1762308167.875832,298,1,0
1762308168.081163,298,1,0
1762308168.288267,298,1,0
1762308168.493639,298,1,0
1762308168.699974,298,1,0
1762308168.905547,298,1,0
1762308169.112267,596,2,0
1762308169.318548,298,1,0
1762308169.525718,298,1,0
1762308169.733138,0,0,0
1762308169.939008,0,0,0
1762308170.144995,0,0,0
1762308170.352791,0,0,0
1762308170.559308,0,0,0
1762308170.766372,0,0,0
1762308170.972142,0,0,0
1762308171.179434,0,0,0
1762308171.387358,0,0,0
