t_recv,seq,bytes,t_send,latency_ms
1762308149.641865,1,256,1762308149.620432,21.433
1762308149.652014,2,256,1762308149.630589,21.425
1762308149.661924,3,256,1762308149.640574,21.351
1762308149.671959,4,256,1762308149.650578,21.380
1762308149.682163,5,256,1762308149.660571,21.592
1762308149.691909,6,256,1762308149.670543,21.366
1762308149.701986,7,256,1762308149.680575,21.411
1762308149.711895,8,256,1762308149.690573,21.322
1762308149.722040,9,256,1762308149.700592,21.448
1762308149.731953,10,256,1762308149.710590,21.363
1762308149.741800,11,256,1762308149.720455,21.345
1762308149.751795,12,256,1762308149.730429,21.366
1762308149.761862,13,256,1762308149.740549,21.312
1762308149.771863,14,256,1762308149.750538,21.325
1762308149.781818,15,256,1762308149.760505,21.312
1762308149.791872,16,256,1762308149.770539,21.333
1762308149.801860,17,256,1762308149.780535,21.325
1762308149.811923,18,256,1762308149.790594,21.328
1762308149.821798,19,256,1762308149.800573,21.224
1762308149.831743,20,256,1762308149.810484,21.259
1762308149.841619,21,256,1762308149.820477,21.142
1762308149.851621,22,256,1762308149.830473,21.148
1762308149.861594,23,256,1762308149.840418,21.176
1762308149.871645,24,256,1762308149.850414,21.231
1762308149.881651,25,256,1762308149.860416,21.235
1762308149.891629,26,256,1762308149.870407,21.222
1762308149.902111,27,256,1762308149.880570,21.541
1762308149.911834,28,256,1762308149.890548,21.287
1762308149.921701,29,256,1762308149.900432,21.269
1762308149.931721,30,256,1762308149.910428,21.293
1762308149.941540,31,256,1762308149.920415,21.125
1762308149.951861,32,256,1762308149.930562,21.299
1762308149.961617,33,256,1762308149.940409,21.208
1762308149.971754,34,256,1762308149.950492,21.262
1762308149.981816,35,256,1762308149.960497,21.319
1762308149.991706,36,256,1762308149.970422,21.284
1762308150.001936,37,256,1762308149.980587,21.349
1762308150.011953,38,256,1762308149.990585,21.369
1762308150.021926,39,256,1762308150.000632,21.294
1762308150.032018,40,256,1762308150.010583,21.435
1762308150.041625,41,256,1762308150.020464,21.161
1762308150.051921,42,256,1762308150.030565,21.356
1762308150.061743,43,256,1762308150.040485,21.258
1762308150.071653,44,256,1762308150.050411,21.242
1762308150.081566,45,256,1762308150.060400,21.167
1762308150.091563,46,256,1762308150.070411,21.152
1762308150.101816,47,256,1762308150.080575,21.241
1762308150.111797,48,256,1762308150.090495,21.302
1762308150.121620,49,256,1762308150.100438,21.182
1762308150.131708,50,256,1762308150.110409,21.299
1762308150.141541,51,256,1762308150.120414,21.127
1762308150.151648,52,256,1762308150.130490,21.157
1762308150.161523,53,256,1762308150.140401,21.122
1762308150.171550,54,256,1762308150.150398,21.152
1762308150.181837,55,256,1762308150.160710,21.127
1762308150.191611,56,256,1762308150.170417,21.194
1762308150.202531,57,256,1762308150.181116,21.415
