t_send,seq,bytes
1762308149.620432,1,256
1762308149.630589,2,256
1762308149.640574,3,256
1762308149.650578,4,256
1762308149.660571,5,256
1762308149.670543,6,256
1762308149.680575,7,256
1762308149.690573,8,256
1762308149.700592,9,256
1762308149.710590,10,256
1762308149.720455,11,256
1762308149.730429,12,256
1762308149.740549,13,256
1762308149.750538,14,256
1762308149.760505,15,256
1762308149.770539,16,256
1762308149.780535,17,256
1762308149.790594,18,256
1762308149.800573,19,256
1762308149.810484,20,256
1762308149.820477,21,256
1762308149.830473,22,256
1762308149.840418,23,256
1762308149.850414,24,256
1762308149.860416,25,256
1762308149.870407,26,256
1762308149.880570,27,256
1762308149.890548,28,256
1762308149.900432,29,256
1762308149.910428,30,256
1762308149.920415,31,256
1762308149.930562,32,256
1762308149.940409,33,256
1762308149.950492,34,256
1762308149.960497,35,256
1762308149.970422,36,256
1762308149.980587,37,256
1762308149.990585,38,256
1762308150.000632,39,256
1762308150.010583,40,256
1762308150.020464,41,256
1762308150.030565,42,256
1762308150.040485,43,256
1762308150.050411,44,256
1762308150.060400,45,256
1762308150.070411,46,256
1762308150.080575,47,256
1762308150.090495,48,256
1762308150.100438,49,256
1762308150.110409,50,256
1762308150.120414,51,256
1762308150.130490,52,256
1762308150.140401,53,256
1762308150.150398,54,256
1762308150.160710,55,256
1762308150.170417,56,256
1762308150.181116,57,256
1762308150.190425,58,256
1762308150.200394,59,256
1762308150.210701,60,256
1762308150.220596,61,256
1762308150.230390,62,256
1762308150.240495,63,256
1762308150.250506,64,256
1762308150.260404,65,256
1762308150.270426,66,256
1762308150.280606,67,256
1762308150.290432,68,256
1762308150.300411,69,256
1762308150.310631,70,256
1762308150.320411,71,256
1762308150.330551,72,256
1762308150.340537,73,256
1762308150.350410,74,256
1762308150.360644,75,256
1762308150.370412,76,256
1762308150.380577,77,256
1762308150.390417,78,256
1762308150.400410,79,256
1762308150.410446,80,256
1762308150.420415,81,256
1762308150.430580,82,256
1762308150.440423,83,256
1762308150.450418,84,256
1762308150.460431,85,256
1762308150.470426,86,256
1762308150.480429,87,256
