t,backlog_bytes,backlog_pkts,dropped_total
0.015201,0,0,0
0.217513,2086,7,0
0.420712,894,3,0
0.631938,2682,9,0
0.834367,298,1,0
1.036624,3183,11,0
1.238670,1788,6,0
1.442243,894,3,0
1.644205,894,3,0
1.846735,1788,6,0
2.054541,1192,4,0
2.256412,1192,4,0
2.458885,2384,8,0
2.665158,1490,5,0
2.869228,1192,4,0
3.072455,1192,4,0
3.275624,1192,4,0
3.481951,1490,5,0
3.685653,894,3,0
3.889261,894,3,0
4.095537,2086,7,0
4.299329,1192,4,0
4.504997,1490,5,0
4.707644,1192,4,0
4.923300,2682,9,0
5.127682,1788,6,0
5.332772,2384,8,0
5.536930,964,4,0
5.739386,2980,10,0
5.943498,1788,6,0
6.147542,1490,5,0
6.351207,1788,6,0
6.556199,2086,7,0
6.766515,1490,5,0
6.968543,2384,8,0
7.171919,1788,6,0
7.375326,1788,6,0
7.580432,894,3,0
7.782558,2086,7,0
7.984142,1490,5,0
8.188780,2384,8,0
8.392626,596,2,0
8.606358,1192,4,0
8.808581,1490,5,0
9.010641,1490,5,0
9.214600,894,3,0
9.418686,2086,7,0
9.622992,1192,4,0
9.825444,1192,4,0
10.029173,1192,4,0
10.236717,596,2,0
10.441345,1192,4,0
10.645425,894,3,0
10.850480,1490,5,0
11.052486,596,2,0
11.255890,1490,5,0
11.461147,1192,4,0
11.665315,1788,6,0
11.867676,894,3,0
12.073593,2384,8,0
12.288258,1788,6,0
12.490760,1490,5,0
12.698384,2384,8,0
12.904233,2384,8,0
13.113827,894,3,0
13.319870,2682,9,0
13.526411,2086,7,0
13.730448,894,3,0
13.935927,2384,8,0
14.141772,1192,4,0
14.345798,1490,5,0
14.549635,1192,4,0
14.753505,2086,7,0
14.957200,1192,4,0
15.161066,2384,8,0
15.365111,894,3,0
15.570123,894,3,0
15.774960,894,3,0
15.981880,1490,5,0
16.186125,1192,4,0
16.391663,1490,5,0
16.597463,1192,4,0
16.801466,1490,5,0
17.008130,596,2,0
17.213023,1192,4,0
17.418797,894,3,0
17.624917,1490,5,0
17.829811,1490,5,0
18.045564,1192,4,0
18.251167,1788,6,0
18.455985,1490,5,0
18.661367,1192,4,0
18.866064,894,3,0
19.071708,0,0,0
19.276424,1192,4,0
19.481178,1788,6,0
19.685139,1192,4,0
19.889286,1192,4,0
20.093068,2086,7,0
20.296734,1788,6,0
20.500957,2384,8,0
20.706849,2086,7,0
20.911543,596,2,0
21.115150,894,3,0
21.320079,1192,4,0
21.523859,2086,7,0
21.729062,1490,5,0
21.931872,1192,4,0
22.135707,894,3,0
22.338966,2086,7,0
22.543583,1490,5,0
22.750909,1490,5,0
22.955653,2086,7,0
23.162113,2384,8,0
23.369293,1788,6,0
23.572785,596,2,0
23.778658,1192,4,0
23.982450,298,1,0
24.188973,894,3,0
24.395640,1192,4,0
24.600343,596,2,0
24.807102,1192,4,0
25.013781,1788,6,0
25.222922,0,0,0
25.427928,0,0,0
25.630121,0,0,0
25.834782,0,0,0
26.041968,0,0,0
26.249002,0,0,0
26.456346,0,0,0
26.661634,0,0,0
26.866949,0,0,0
