t,backlog_bytes,backlog_pkts,dropped_total
0.019751,0,0,0
0.223151,894,3,0
0.426567,894,3,0
0.630690,894,3,0
0.838747,894,3,0
1.042202,894,3,0
1.247949,1192,4,0
1.454157,894,3,0
1.660384,894,3,0
1.866566,894,3,0
2.073606,894,3,0
2.277585,894,3,0
2.482692,894,3,0
2.690610,894,3,0
2.894997,894,3,0
3.099991,894,3,0
3.312902,894,3,0
3.516997,894,3,0
3.720399,894,3,0
3.924099,894,3,0
4.131058,894,3,0
4.337686,894,3,0
4.543834,894,3,0
4.749641,894,3,0
4.954744,1192,4,0
5.161109,1192,4,0
5.366457,894,3,0
5.577124,894,3,0
5.780630,894,3,0
5.983155,894,3,0
6.188781,894,3,0
6.393008,894,3,0
6.596883,894,3,0
6.802622,894,3,0
7.007964,1192,4,0
7.212498,894,3,0
7.418210,894,3,0
7.625524,894,3,0
7.831863,894,3,0
8.035972,894,3,0
8.241884,894,3,0
8.447662,1192,4,0
8.653647,894,3,0
8.858743,894,3,0
9.068735,894,3,0
9.272687,894,3,0
9.475837,894,3,0
9.681313,1192,4,0
9.887596,894,3,0
10.094830,894,3,0
10.298667,894,3,0
10.505300,894,3,0
10.711771,894,3,0
10.917425,894,3,0
11.124416,894,3,0
11.331614,894,3,0
11.535625,894,3,0
11.738858,894,3,0
11.944412,1192,4,0
12.151203,1192,4,0
12.358778,894,3,0
12.563863,894,3,0
12.767226,894,3,0
12.972569,894,3,0
13.178747,894,3,0
13.385670,894,3,0
13.590543,894,3,0
13.793514,894,3,0
13.999398,894,3,0
14.206331,894,3,0
14.411919,894,3,0
14.628733,0,0,0
14.833321,894,3,0
15.037172,894,3,0
15.241389,1192,4,0
15.445311,894,3,0
15.649119,894,3,0
15.853031,894,3,0
16.058826,894,3,0
16.264279,894,3,0
16.469030,894,3,0
16.675293,894,3,0
16.880206,894,3,0
17.089224,894,3,0
17.292014,894,3,0
17.498985,894,3,0
17.704283,894,3,0
17.908229,894,3,0
18.113208,894,3,0
18.321630,1192,4,0
18.525015,894,3,0
18.731871,894,3,0
18.934749,1192,4,0
19.150126,894,3,0
19.358017,894,3,0
19.565564,894,3,0
19.770094,894,3,0
19.974477,1192,4,0
20.179116,894,3,0
20.383863,894,3,0
20.587454,894,3,0
20.790699,894,3,0
20.994463,1192,4,0
21.200417,894,3,0
21.406309,894,3,0
21.611538,894,3,0
21.816019,894,3,0
22.021123,1192,4,0
22.225907,894,3,0
22.432028,894,3,0
22.638193,894,3,0
22.844565,1192,4,0
23.048235,894,3,0
23.254310,894,3,0
23.459797,894,3,0
23.665727,894,3,0
23.869618,894,3,0
24.079174,894,3,0
24.283001,894,3,0
24.486546,894,3,0
24.692649,894,3,0
24.898528,894,3,0
25.105307,0,0,0
25.311621,0,0,0
25.519067,0,0,0
25.725566,0,0,0
25.929935,0,0,0
26.134389,0,0,0
26.351023,0,0,0
26.555267,0,0,0
26.759333,0,0,0
26.963850,0,0,0
