t_recv,seq,bytes,t_send,latency_ms
1764871076.480596,1,256,1764871076.458792,21.804
1764871076.483083,2,256,1764871076.462026,21.057
1764871076.486452,3,256,1764871076.465368,21.084
1764871076.489790,4,256,1764871076.468699,21.091
1764871076.493190,5,256,1764871076.472102,21.088
1764871076.496642,6,256,1764871076.475449,21.193
1764871076.499920,7,256,1764871076.478782,21.139
1764871076.503216,8,256,1764871076.482135,21.081
1764871076.506596,9,256,1764871076.485425,21.172
1764871076.509780,10,256,1764871076.488709,21.071
1764871076.513252,11,256,1764871076.492119,21.133
1764871076.516643,12,256,1764871076.495494,21.149
1764871076.519871,13,256,1764871076.498788,21.083
1764871076.523193,14,256,1764871076.502169,21.024
1764871076.526532,15,256,1764871076.505398,21.134
1764871076.529789,16,256,1764871076.508691,21.099
1764871076.533143,17,256,1764871076.512075,21.068
1764871076.536579,18,256,1764871076.515422,21.157
1764871076.539989,19,256,1764871076.518793,21.196
1764871076.543219,20,256,1764871076.522096,21.123
1764871076.546557,21,256,1764871076.525401,21.156
1764871076.549982,22,256,1764871076.528828,21.154
1764871076.553133,23,256,1764871076.532077,21.056
1764871076.556554,24,256,1764871076.535448,21.106
1764871076.559880,25,256,1764871076.538715,21.165
1764871076.563061,26,256,1764871076.542048,21.013
1764871076.566463,27,256,1764871076.545383,21.080
1764871076.570021,28,256,1764871076.548902,21.119
1764871076.573015,29,256,1764871076.552026,20.989
1764871076.576423,30,256,1764871076.555431,20.992
1764871076.579932,31,256,1764871076.558869,21.064
1764871076.583099,32,256,1764871076.562114,20.985
1764871076.586427,33,256,1764871076.565436,20.990
1764871076.589764,34,256,1764871076.568785,20.979
1764871076.593108,35,256,1764871076.572115,20.993
1764871076.596467,36,256,1764871076.575447,21.020
1764871076.599771,37,256,1764871076.578785,20.985
1764871076.603075,38,256,1764871076.582115,20.959
1764871076.606464,39,256,1764871076.585454,21.010
1764871076.609615,40,256,1764871076.588696,20.919
1764871076.613040,41,256,1764871076.592120,20.920
1764871076.616388,42,256,1764871076.595450,20.938
1764871076.619666,43,256,1764871076.598768,20.897
1764871076.622950,44,256,1764871076.602094,20.856
1764871076.626327,45,256,1764871076.605431,20.896
1764871076.629669,46,256,1764871076.608763,20.905
1764871076.632939,47,256,1764871076.612105,20.834
1764871076.636323,48,256,1764871076.615430,20.893
1764871076.639686,49,256,1764871076.618771,20.916
1764871076.642979,50,256,1764871076.622052,20.927
1764871076.646264,51,256,1764871076.625357,20.907
1764871076.649690,52,256,1764871076.628768,20.922
1764871076.652992,53,256,1764871076.632082,20.909
