t_recv,seq,bytes,t_send,latency_ms
1764871076.508140,1,256,1764871076.475481,32.660
1764871076.512014,2,256,1764871076.480484,31.531
1764871076.517380,3,256,1764871076.485474,31.906
1764871076.522017,4,256,1764871076.490472,31.544
1764871076.527470,5,256,1764871076.495601,31.869
1764871076.532158,6,256,1764871076.500596,31.562
1764871076.537351,7,256,1764871076.505596,31.755
1764871076.542156,8,256,1764871076.510585,31.572
1764871076.547384,9,256,1764871076.515593,31.791
1764871076.552224,10,256,1764871076.520537,31.686
1764871076.557356,11,256,1764871076.525502,31.854
1764871076.562474,12,256,1764871076.530600,31.874
1764871076.567311,13,256,1764871076.535601,31.709
1764871076.572109,14,256,1764871076.540586,31.522
1764871076.577240,15,256,1764871076.545596,31.644
1764871076.582040,16,256,1764871076.550569,31.470
1764871076.587352,17,256,1764871076.555600,31.752
1764871076.592139,18,256,1764871076.560590,31.549
1764871076.597274,19,256,1764871076.565571,31.703
1764871076.602115,20,256,1764871076.570586,31.529
1764871076.607315,21,256,1764871076.575590,31.725
1764871076.612090,22,256,1764871076.580591,31.499
1764871076.617261,23,256,1764871076.585584,31.676
1764871076.622063,24,256,1764871076.590618,31.445
1764871076.627276,25,256,1764871076.595591,31.684
1764871076.631912,26,256,1764871076.600502,31.410
1764871076.637257,27,256,1764871076.605569,31.687
1764871076.642029,28,256,1764871076.610471,31.558
1764871076.647259,29,256,1764871076.615580,31.679
1764871076.652093,30,256,1764871076.620571,31.522
1764871076.657186,31,256,1764871076.625563,31.622
1764871076.662102,32,256,1764871076.630532,31.570
1764871076.667348,33,256,1764871076.635463,31.885
1764871076.671987,34,256,1764871076.640480,31.507
1764871076.677207,35,256,1764871076.645598,31.610
1764871076.682148,36,256,1764871076.650599,31.549
1764871076.687322,37,256,1764871076.655599,31.724
1764871076.692218,38,256,1764871076.660604,31.614
1764871076.697327,39,256,1764871076.665617,31.709
1764871076.702041,40,256,1764871076.670587,31.455
1764871076.707279,41,256,1764871076.675592,31.687
1764871076.712143,42,256,1764871076.680592,31.551
1764871076.717175,43,256,1764871076.685520,31.656
1764871076.722149,44,256,1764871076.690607,31.542
1764871076.727349,45,256,1764871076.695690,31.659
1764871076.731992,46,256,1764871076.700471,31.522
1764871076.737347,47,256,1764871076.705516,31.831
1764871076.742025,48,256,1764871076.710452,31.574
1764871076.747361,49,256,1764871076.715561,31.801
1764871076.752065,50,256,1764871076.720461,31.604
1764871076.757361,51,256,1764871076.725506,31.855
1764871076.762151,52,256,1764871076.730587,31.564
1764871076.767291,53,256,1764871076.735557,31.735
1764871076.772150,54,256,1764871076.740596,31.554
1764871076.777354,55,256,1764871076.745524,31.830
1764871076.782169,56,256,1764871076.750628,31.541
1764871076.787771,57,256,1764871076.755508,32.264
1764871076.792102,58,256,1764871076.760596,31.507
1764871076.797223,59,256,1764871076.765474,31.749
1764871076.802008,60,256,1764871076.770483,31.525
1764871076.807315,61,256,1764871076.775597,31.718
1764871076.811987,62,256,1764871076.780478,31.508
1764871076.817207,63,256,1764871076.785606,31.601
1764871076.822079,64,256,1764871076.790597,31.482
1764871076.827185,65,256,1764871076.795589,31.596
1764871076.832073,66,256,1764871076.800570,31.503
1764871076.837225,67,256,1764871076.805459,31.766
1764871076.842082,68,256,1764871076.810566,31.517
1764871076.847275,69,256,1764871076.815570,31.705
1764871076.851984,70,256,1764871076.820469,31.515
1764871076.857301,71,256,1764871076.825467,31.834
1764871076.861888,72,256,1764871076.830453,31.435
1764871076.867234,73,256,1764871076.835534,31.701
1764871076.872022,74,256,1764871076.840458,31.564
1764871076.877305,75,256,1764871076.845553,31.752
1764871076.882027,76,256,1764871076.850453,31.574
1764871076.887680,77,256,1764871076.855594,32.086
1764871076.891896,78,256,1764871076.860466,31.431
1764871076.897202,79,256,1764871076.865537,31.666
1764871076.901970,80,256,1764871076.870447,31.523
1764871076.907153,81,256,1764871076.875553,31.600
1764871076.911973,82,256,1764871076.880454,31.520
1764871076.917304,83,256,1764871076.885543,31.760
1764871076.921985,84,256,1764871076.890464,31.522
1764871076.927249,85,256,1764871076.895473,31.776
1764871076.932005,86,256,1764871076.900454,31.552
1764871076.937353,87,256,1764871076.905466,31.887
1764871076.941976,88,256,1764871076.910456,31.520
1764871076.947380,89,256,1764871076.915570,31.810
1764871076.951967,90,256,1764871076.920454,31.513
1764871076.956922,91,256,1764871076.925461,31.461
1764871076.961953,92,256,1764871076.930456,31.497
1764871076.967401,93,256,1764871076.935558,31.843
1764871076.971964,94,256,1764871076.940442,31.522
1764871076.977289,95,256,1764871076.945723,31.566
1764871076.981994,96,256,1764871076.950456,31.538
1764871076.987005,97,256,1764871076.955463,31.541
1764871076.991932,98,256,1764871076.960435,31.497
1764871076.997207,99,256,1764871076.965447,31.759
1764871077.002024,100,256,1764871076.970443,31.582
1764871077.007185,101,256,1764871076.975473,31.713
1764871077.011921,102,256,1764871076.980478,31.443
1764871077.017352,103,256,1764871076.985486,31.866
1764871077.021967,104,256,1764871076.990444,31.524
1764871077.027351,105,256,1764871076.995508,31.843
1764871077.031997,106,256,1764871077.000461,31.535
1764871077.037420,107,256,1764871077.005499,31.921
1764871077.042024,108,256,1764871077.010456,31.568
1764871077.046854,109,256,1764871077.015433,31.421
1764871077.051946,110,256,1764871077.020428,31.518
1764871077.056950,111,256,1764871077.025430,31.520
1764871077.061921,112,256,1764871077.030469,31.452
1764871077.066944,113,256,1764871077.035434,31.510
1764871077.071908,114,256,1764871077.040464,31.444
1764871077.076864,115,256,1764871077.045449,31.415
1764871077.081962,116,256,1764871077.050464,31.497
1764871077.086844,117,256,1764871077.055445,31.399
1764871077.091933,118,256,1764871077.060463,31.470
1764871077.097279,119,256,1764871077.065496,31.784
1764871077.101969,120,256,1764871077.070449,31.520
1764871077.107233,121,256,1764871077.075438,31.795
1764871077.112082,122,256,1764871077.080510,31.572
1764871077.117258,123,256,1764871077.085446,31.812
1764871077.121984,124,256,1764871077.090461,31.523
1764871077.127331,125,256,1764871077.095514,31.817
1764871077.132048,126,256,1764871077.100470,31.579
1764871077.137378,127,256,1764871077.105539,31.839
1764871077.141962,128,256,1764871077.110463,31.499
1764871077.147207,129,256,1764871077.115602,31.605
1764871077.152049,130,256,1764871077.120471,31.578
1764871077.157170,131,256,1764871077.125502,31.667
1764871077.161862,132,256,1764871077.130446,31.416
1764871077.167136,133,256,1764871077.135589,31.547
1764871077.171958,134,256,1764871077.140471,31.487
1764871077.177197,135,256,1764871077.145574,31.624
1764871077.181925,136,256,1764871077.150465,31.460
1764871077.187258,137,256,1764871077.155511,31.746
1764871077.191974,138,256,1764871077.160443,31.530
1764871077.197336,139,256,1764871077.165548,31.788
1764871077.201963,140,256,1764871077.170468,31.495
1764871077.207688,141,256,1764871077.175523,32.166
1764871077.211937,142,256,1764871077.180462,31.475
