t_recv,seq,bytes,t_send,latency_ms
1764723370.962027,1,256,1764723370.929612,32.415
1764723370.966132,2,256,1764723370.934621,31.511
1764723370.971097,3,256,1764723370.939616,31.480
1764723370.976133,4,256,1764723370.944661,31.473
1764723370.981126,5,256,1764723370.949616,31.510
1764723370.986096,6,256,1764723370.954664,31.432
1764723370.991058,7,256,1764723370.959650,31.408
1764723370.996056,8,256,1764723370.964588,31.468
1764723371.001029,9,256,1764723370.969599,31.430
1764723371.006022,10,256,1764723370.974611,31.411
1764723371.011025,11,256,1764723370.979581,31.444
1764723371.016119,12,256,1764723370.984635,31.484
1764723371.021032,13,256,1764723370.989614,31.418
1764723371.026142,14,256,1764723370.994655,31.487
1764723371.031041,15,256,1764723370.999623,31.418
1764723371.036361,16,256,1764723371.004654,31.707
1764723371.041308,17,256,1764723371.009681,31.627
1764723371.046088,18,256,1764723371.014619,31.469
1764723371.051051,19,256,1764723371.019631,31.419
1764723371.056072,20,256,1764723371.024666,31.407
1764723371.061068,21,256,1764723371.029658,31.410
1764723371.066202,22,256,1764723371.034754,31.448
1764723371.071094,23,256,1764723371.039634,31.460
1764723371.076074,24,256,1764723371.044642,31.432
1764723371.081121,25,256,1764723371.049605,31.516
1764723371.086142,26,256,1764723371.054619,31.523
1764723371.091145,27,256,1764723371.059615,31.530
1764723371.096255,28,256,1764723371.064605,31.650
1764723371.101300,29,256,1764723371.069662,31.637
1764723371.106223,30,256,1764723371.074610,31.614
1764723371.111188,31,256,1764723371.079610,31.578
1764723371.116329,32,256,1764723371.084678,31.651
1764723371.121167,33,256,1764723371.089663,31.504
1764723371.126192,34,256,1764723371.094669,31.523
1764723371.131101,35,256,1764723371.099669,31.433
1764723371.136350,36,256,1764723371.104698,31.651
1764723371.141283,37,256,1764723371.109718,31.565
1764723371.146473,38,256,1764723371.114774,31.699
1764723371.151260,39,256,1764723371.119689,31.571
1764723371.156367,40,256,1764723371.124769,31.597
1764723371.161188,41,256,1764723371.129647,31.541
1764723371.166320,42,256,1764723371.134752,31.568
1764723371.171149,43,256,1764723371.139668,31.480
1764723371.176427,44,256,1764723371.144702,31.725
1764723371.181252,45,256,1764723371.149694,31.559
1764723371.186366,46,256,1764723371.154720,31.645
1764723371.191245,47,256,1764723371.159679,31.566
1764723371.196354,48,256,1764723371.164668,31.686
1764723371.201162,49,256,1764723371.169667,31.495
1764723371.206492,50,256,1764723371.174770,31.722
1764723371.211259,51,256,1764723371.179695,31.564
1764723371.216328,52,256,1764723371.184767,31.560
1764723371.221106,53,256,1764723371.189671,31.435
1764723371.226285,54,256,1764723371.194696,31.589
1764723371.231235,55,256,1764723371.199703,31.533
1764723371.236029,56,256,1764723371.204612,31.417
1764723371.242511,57,256,1764723371.209604,32.907
1764723371.246009,58,256,1764723371.214601,31.408
1764723371.250987,59,256,1764723371.219612,31.375
1764723371.256852,60,256,1764723371.225344,31.508
1764723371.261087,61,256,1764723371.229626,31.461
1764723371.266178,62,256,1764723371.234629,31.549
1764723371.271131,63,256,1764723371.239665,31.466
1764723371.276230,64,256,1764723371.244620,31.611
1764723371.281037,65,256,1764723371.249620,31.417
1764723371.286150,66,256,1764723371.254701,31.449
1764723371.291268,67,256,1764723371.259671,31.597
1764723371.296195,68,256,1764723371.264708,31.486
1764723371.301178,69,256,1764723371.269668,31.510
1764723371.306075,70,256,1764723371.274612,31.463
