t_send,seq,bytes
1764723370.922733,1,256
1764723370.924719,2,256
1764723370.926723,3,256
1764723370.928711,4,256
1764723370.930709,5,256
1764723370.932711,6,256
1764723370.934721,7,256
1764723370.936716,8,256
1764723370.938727,9,256
1764723370.940773,10,256
1764723370.942723,11,256
1764723370.944722,12,256
1764723370.946718,13,256
1764723370.948715,14,256
1764723370.950718,15,256
1764723370.952718,16,256
1764723370.954727,17,256
1764723370.956725,18,256
1764723370.958719,19,256
1764723370.960735,20,256
1764723370.962725,21,256
1764723370.964721,22,256
1764723370.966712,23,256
1764723370.968718,24,256
1764723370.970710,25,256
1764723370.972711,26,256
1764723370.974708,27,256
1764723370.976714,28,256
1764723370.978714,29,256
1764723370.980724,30,256
1764723370.982725,31,256
1764723370.984726,32,256
1764723370.986714,33,256
1764723370.988715,34,256
1764723370.990720,35,256
1764723370.992716,36,256
1764723370.994719,37,256
1764723370.996717,38,256
1764723370.998729,39,256
1764723371.000719,40,256
1764723371.002723,41,256
1764723371.004767,42,256
1764723371.006718,43,256
1764723371.008726,44,256
1764723371.010723,45,256
1764723371.012720,46,256
1764723371.014737,47,256
1764723371.016729,48,256
1764723371.018725,49,256
1764723371.020735,50,256
1764723371.022789,51,256
1764723371.024724,52,256
1764723371.026742,53,256
1764723371.028755,54,256
1764723371.030758,55,256
1764723371.032822,56,256
1764723371.034802,57,256
1764723371.036744,58,256
1764723371.038739,59,256
1764723371.040735,60,256
1764723371.042721,61,256
1764723371.044685,62,256
1764723371.046721,63,256
1764723371.048713,64,256
1764723371.050714,65,256
1764723371.052717,66,256
1764723371.054720,67,256
1764723371.056736,68,256
1764723371.058724,69,256
1764723371.060729,70,256
1764723371.062732,71,256
1764723371.064723,72,256
1764723371.066719,73,256
1764723371.068733,74,256
1764723371.070735,75,256
1764723371.072726,76,256
1764723371.074724,77,256
1764723371.076724,78,256
1764723371.078730,79,256
1764723371.080729,80,256
1764723371.082790,81,256
1764723371.084775,82,256
1764723371.086733,83,256
1764723371.088778,84,256
1764723371.090736,85,256
1764723371.092788,86,256
1764723371.094745,87,256
1764723371.096748,88,256
1764723371.098811,89,256
1764723371.100731,90,256
1764723371.102822,91,256
1764723371.104783,92,256
1764723371.106891,93,256
1764723371.108889,94,256
1764723371.110811,95,256
1764723371.112891,96,256
1764723371.114822,97,256
1764723371.116901,98,256
1764723371.118789,99,256
1764723371.120808,100,256
1764723371.122871,101,256
1764723371.124814,102,256
1764723371.126765,103,256
1764723371.128890,104,256
1764723371.130827,105,256
1764723371.132794,106,256
1764723371.134790,107,256
1764723371.136759,108,256
1764723371.138880,109,256
1764723371.140763,110,256
1764723371.142857,111,256
1764723371.144760,112,256
1764723371.146760,113,256
1764723371.148877,114,256
1764723371.150804,115,256
1764723371.152772,116,256
1764723371.154804,117,256
1764723371.156741,118,256
1764723371.158878,119,256
1764723371.160803,120,256
1764723371.162898,121,256
1764723371.164790,122,256
1764723371.166767,123,256
1764723371.168860,124,256
1764723371.170789,125,256
1764723371.172878,126,256
1764723371.174810,127,256
1764723371.176762,128,256
1764723371.178878,129,256
1764723371.180808,130,256
1764723371.182897,131,256
1764723371.184817,132,256
1764723371.186763,133,256
1764723371.188874,134,256
1764723371.190823,135,256
1764723371.192858,136,256
1764723371.194757,137,256
1764723371.196766,138,256
1764723371.198893,139,256
1764723371.200804,140,256
1764723371.202744,141,256
1764723371.204792,142,256
1764723371.206738,143,256
1764723371.208783,144,256
1764723371.210784,145,256
1764723371.212742,146,256
1764723371.214781,147,256
1764723371.216740,148,256
1764723371.218785,149,256
1764723371.220737,150,256
1764723371.222732,151,256
1764723371.225629,152,256
1764723371.226772,153,256
1764723371.228766,154,256
1764723371.230734,155,256
1764723371.232766,156,256
1764723371.234783,157,256
1764723371.236767,158,256
1764723371.238754,159,256
1764723371.240725,160,256
1764723371.242723,161,256
1764723371.244779,162,256
1764723371.246735,163,256
1764723371.248730,164,256
1764723371.250726,165,256
1764723371.252732,166,256
1764723371.254727,167,256
1764723371.256761,168,256
1764723371.258744,169,256
1764723371.260729,170,256
1764723371.262743,171,256
1764723371.264730,172,256
1764723371.266772,173,256
