t_recv,seq,bytes,t_send,latency_ms
1764723754.179027,1,256,1764723754.157322,21.704
1764723754.181691,2,256,1764723754.160539,21.152
1764723754.184895,3,256,1764723754.163873,21.022
1764723754.188312,4,256,1764723754.167259,21.053
1764723754.191560,5,256,1764723754.170521,21.039
1764723754.194952,6,256,1764723754.173975,20.977
1764723754.198267,7,256,1764723754.177337,20.930
1764723754.201591,8,256,1764723754.180666,20.925
1764723754.204774,9,256,1764723754.183930,20.844
1764723754.208212,10,256,1764723754.187328,20.884
1764723754.211573,11,256,1764723754.190668,20.905
1764723754.214736,12,256,1764723754.193902,20.834
1764723754.218251,13,256,1764723754.197299,20.953
1764723754.221354,14,256,1764723754.200502,20.852
1764723754.224739,15,256,1764723754.203829,20.909
1764723754.228055,16,256,1764723754.207206,20.849
1764723754.231383,17,256,1764723754.210500,20.883
1764723754.234751,18,256,1764723754.213869,20.882
1764723754.238080,19,256,1764723754.217232,20.848
1764723754.241487,20,256,1764723754.220550,20.936
1764723754.244774,21,256,1764723754.223900,20.874
1764723754.248168,22,256,1764723754.227239,20.929
1764723754.251542,23,256,1764723754.230564,20.978
1764723754.254780,24,256,1764723754.233898,20.882
1764723754.258188,25,256,1764723754.237238,20.951
1764723754.261518,26,256,1764723754.240571,20.947
1764723754.264757,27,256,1764723754.243898,20.859
1764723754.268103,28,256,1764723754.247245,20.858
1764723754.271546,29,256,1764723754.250547,20.999
1764723754.274789,30,256,1764723754.253893,20.897
1764723754.278095,31,256,1764723754.257242,20.853
1764723754.281409,32,256,1764723754.260548,20.861
1764723754.284751,33,256,1764723754.263893,20.858
1764723754.288080,34,256,1764723754.267234,20.846
1764723754.291405,35,256,1764723754.270508,20.897
1764723754.294828,36,256,1764723754.273842,20.986
1764723754.298034,37,256,1764723754.277173,20.862
1764723754.301337,38,256,1764723754.280500,20.836
1764723754.304708,39,256,1764723754.283844,20.864
1764723754.308104,40,256,1764723754.287170,20.934
1764723754.311402,41,256,1764723754.290504,20.898
1764723754.314799,42,256,1764723754.293838,20.961
1764723754.318295,43,256,1764723754.297243,21.053
1764723754.321512,44,256,1764723754.300507,21.005
1764723754.324811,45,256,1764723754.303838,20.974
1764723754.328183,46,256,1764723754.307248,20.935
1764723754.331407,47,256,1764723754.310504,20.903
1764723754.334812,48,256,1764723754.313837,20.976
1764723754.338073,49,256,1764723754.317168,20.905
1764723754.341409,50,256,1764723754.320503,20.906
1764723754.344816,51,256,1764723754.323895,20.921
1764723754.348169,52,256,1764723754.327241,20.928
1764723754.351540,53,256,1764723754.330552,20.987
1764723754.354853,54,256,1764723754.333902,20.951
1764723754.358183,55,256,1764723754.337236,20.947
1764723754.361571,56,256,1764723754.340574,20.998
1764723754.364834,57,256,1764723754.343903,20.931
1764723754.368157,58,256,1764723754.347243,20.914
1764723754.371541,59,256,1764723754.350554,20.987
1764723754.374804,60,256,1764723754.353894,20.911
1764723754.378194,61,256,1764723754.357241,20.953
1764723754.381461,62,256,1764723754.360507,20.953
1764723754.384727,63,256,1764723754.363877,20.850
1764723754.388051,64,256,1764723754.367165,20.886
1764723754.391518,65,256,1764723754.370515,21.003
1764723754.394877,66,256,1764723754.373833,21.044
1764723754.398037,67,256,1764723754.377166,20.871
1764723754.401483,68,256,1764723754.380497,20.986
1764723754.404866,69,256,1764723754.383838,21.028
1764723754.408069,70,256,1764723754.387173,20.895
1764723754.411541,71,256,1764723754.390556,20.984
1764723754.414810,72,256,1764723754.393926,20.884
1764723754.418086,73,256,1764723754.397178,20.908
1764723754.421623,74,256,1764723754.400560,21.064
