t_send,seq,bytes
1764723754.157322,1,256
1764723754.160539,2,256
1764723754.163873,3,256
1764723754.167259,4,256
1764723754.170521,5,256
1764723754.173975,6,256
1764723754.177337,7,256
1764723754.180666,8,256
1764723754.183930,9,256
1764723754.187328,10,256
1764723754.190668,11,256
1764723754.193902,12,256
1764723754.197299,13,256
1764723754.200502,14,256
1764723754.203829,15,256
1764723754.207206,16,256
1764723754.210500,17,256
1764723754.213869,18,256
1764723754.217232,19,256
1764723754.220550,20,256
1764723754.223900,21,256
1764723754.227239,22,256
1764723754.230564,23,256
1764723754.233898,24,256
1764723754.237238,25,256
1764723754.240571,26,256
1764723754.243898,27,256
1764723754.247245,28,256
1764723754.250547,29,256
1764723754.253893,30,256
1764723754.257242,31,256
1764723754.260548,32,256
1764723754.263893,33,256
1764723754.267234,34,256
1764723754.270508,35,256
1764723754.273842,36,256
1764723754.277173,37,256
1764723754.280500,38,256
1764723754.283844,39,256
1764723754.287170,40,256
1764723754.290504,41,256
1764723754.293838,42,256
1764723754.297243,43,256
1764723754.300507,44,256
1764723754.303838,45,256
1764723754.307248,46,256
1764723754.310504,47,256
1764723754.313837,48,256
1764723754.317168,49,256
1764723754.320503,50,256
1764723754.323895,51,256
1764723754.327241,52,256
1764723754.330552,53,256
1764723754.333902,54,256
1764723754.337236,55,256
1764723754.340574,56,256
1764723754.343903,57,256
1764723754.347243,58,256
1764723754.350554,59,256
1764723754.353894,60,256
1764723754.357241,61,256
1764723754.360507,62,256
1764723754.363877,63,256
1764723754.367165,64,256
1764723754.370515,65,256
1764723754.373833,66,256
1764723754.377166,67,256
1764723754.380497,68,256
1764723754.383838,69,256
1764723754.387173,70,256
1764723754.390556,71,256
1764723754.393926,72,256
1764723754.397178,73,256
1764723754.400560,74,256
1764723754.403894,75,256
1764723754.407240,76,256
1764723754.410565,77,256
1764723754.413843,78,256
1764723754.417175,79,256
1764723754.420578,80,256
1764723754.423908,81,256
1764723754.427241,82,256
1764723754.430565,83,256
1764723754.433898,84,256
1764723754.437178,85,256
1764723754.440504,86,256
1764723754.443850,87,256
1764723754.447173,88,256
1764723754.450511,89,256
1764723754.453944,90,256
1764723754.457273,91,256
1764723754.460590,92,256
1764723754.463944,93,256
1764723754.467339,94,256
1764723754.470560,95,256
1764723754.473883,96,256
1764723754.477232,97,256
1764723754.480504,98,256
1764723754.483881,99,256
1764723754.487330,100,256
1764723754.490548,101,256
1764723754.493942,102,256
1764723754.497343,103,256
1764723754.500659,104,256
1764723754.503991,105,256
1764723754.507335,106,256
1764723754.510662,107,256
1764723754.513985,108,256
1764723754.517338,109,256
1764723754.520576,110,256
1764723754.523839,111,256
1764723754.527176,112,256
1764723754.530506,113,256
1764723754.533904,114,256
1764723754.537178,115,256
1764723754.540503,116,256
1764723754.543839,117,256
