t,backlog_bytes,backlog_pkts,dropped_total
0.006721,0,0,0
0.213083,1490,5,0
0.417366,1788,6,0
0.621544,1490,5,0
0.827662,1490,5,0
1.032958,1490,5,0
1.239688,1490,5,0
1.446199,1490,5,0
1.650191,1490,5,0
1.855067,1788,6,0
2.059591,1490,5,0
2.265670,1788,6,0
2.469497,1490,5,0
2.676274,1490,5,0
2.880730,1490,5,0
3.087072,1490,5,0
3.292808,1490,5,0
3.498964,1490,5,0
3.703497,1490,5,0
3.908608,1788,6,0
4.114061,1490,5,0
4.318647,1788,6,0
4.524896,1490,5,0
4.729801,1490,5,0
4.935289,1788,6,0
5.139228,1490,5,0
5.344379,1490,5,0
5.549432,1490,5,0
5.754391,1490,5,0
5.960670,1490,5,0
6.167443,1788,6,0
6.371949,1788,6,0
6.578073,1490,5,0
6.782900,1490,5,0
6.987487,1788,6,0
7.194295,1490,5,0
7.399766,1490,5,0
7.603538,1490,5,0
7.809207,1490,5,0
8.013080,1490,5,0
8.218202,1490,5,0
8.424517,1490,5,0
8.629472,1490,5,0
8.835347,1788,6,0
9.040924,1490,5,0
9.246002,1490,5,0
9.450998,1490,5,0
9.654619,1490,5,0
9.859433,1490,5,0
10.065163,1788,6,0
10.270414,1490,5,0
10.474772,1490,5,0
10.680030,1490,5,0
10.885994,1490,5,0
11.089474,1490,5,0
11.293684,1490,5,0
11.497813,1788,6,0
11.701281,1490,5,0
11.907286,1490,5,0
12.111601,1490,5,0
12.315000,1490,5,0
12.520827,1490,5,0
12.725524,1490,5,0
12.931003,1490,5,0
13.137164,1490,5,0
13.341809,1788,6,0
13.546955,1490,5,0
13.751062,1490,5,0
13.955869,1490,5,0
14.162744,1490,5,0
14.379187,1490,5,0
14.584769,1490,5,0
14.791241,1490,5,0
14.996031,1490,5,0
15.201915,1490,5,0
15.406800,1490,5,0
15.612999,1788,6,0
15.819381,1490,5,0
16.023013,1490,5,0
16.229863,1490,5,0
16.434256,1490,5,0
16.641084,1490,5,0
16.846953,1490,5,0
17.050091,1490,5,0
17.256197,1490,5,0
17.460613,1490,5,0
17.666857,1490,5,0
17.873075,1490,5,0
18.078780,1788,6,0
18.283613,1490,5,0
18.489571,1490,5,0
18.693313,1490,5,0
18.897362,1490,5,0
19.100736,1490,5,0
19.305775,1490,5,0
19.511960,1788,6,0
19.718316,1490,5,0
19.923061,1490,5,0
20.129979,1490,5,0
20.336415,1490,5,0
20.542987,1788,6,0
20.748390,1490,5,0
20.954370,1490,5,0
21.161307,1490,5,0
21.367361,1490,5,0
21.571946,1788,6,0
21.778751,1490,5,0
21.983116,1490,5,0
22.187458,1490,5,0
22.393245,1788,6,0
22.598160,1490,5,0
22.804525,1490,5,0
23.009417,1490,5,0
23.214579,1490,5,0
23.418438,1788,6,0
23.624835,1490,5,0
23.829519,1490,5,0
24.035566,1490,5,0
24.240945,1490,5,0
24.447575,1490,5,0
24.654550,1490,5,0
24.859205,1490,5,0
25.064259,1490,5,0
25.270351,0,0,0
25.475336,0,0,0
25.682016,0,0,0
25.888962,0,0,0
26.094276,0,0,0
26.302634,0,0,0
26.507717,0,0,0
26.711297,0,0,0
26.917777,0,0,0
