t,backlog_bytes,backlog_pkts,dropped_total
0.006316,0,0,0
0.210473,596,2,0
0.414595,596,2,0
0.620439,894,3,0
0.824773,596,2,0
1.028995,596,2,0
1.233566,596,2,0
1.438674,298,1,0
1.641981,596,2,0
1.846242,596,2,0
2.049393,596,2,0
2.252865,596,2,0
2.457634,596,2,0
2.661593,596,2,0
2.867131,596,2,0
3.072492,596,2,0
3.278280,830,3,0
3.484066,596,2,0
3.688770,596,2,0
3.893958,596,2,0
4.098975,596,2,0
4.305191,596,2,0
4.510494,894,3,0
4.716813,596,2,0
4.920984,596,2,0
5.125576,894,3,0
5.331620,596,2,0
5.536237,596,2,0
5.741696,596,2,0
5.947471,596,2,0
6.150626,596,2,0
6.356970,596,2,0
6.561789,596,2,0
6.768205,596,2,0
6.972502,596,2,0
7.178310,596,2,0
7.384072,596,2,0
7.590570,894,3,0
7.795535,894,3,0
8.000787,596,2,0
8.207859,596,2,0
8.412313,596,2,0
8.618245,596,2,0
8.823144,596,2,0
9.026862,596,2,0
9.231956,596,2,0
9.438559,596,2,0
9.643630,596,2,0
9.848937,596,2,0
10.053917,596,2,0
10.258182,596,2,0
10.463037,596,2,0
10.668301,596,2,0
10.873487,596,2,0
11.078684,596,2,0
11.287719,596,2,0
11.493364,596,2,0
11.702329,596,2,0
11.909363,596,2,0
12.113804,596,2,0
12.318604,596,2,0
12.524079,596,2,0
12.729237,596,2,0
12.934932,596,2,0
13.141362,596,2,0
13.346653,596,2,0
13.552711,666,3,0
13.758126,596,2,0
13.962718,596,2,0
14.167828,596,2,0
14.373402,596,2,0
14.579289,596,2,0
14.784768,596,2,0
14.990230,596,2,0
15.195559,894,3,0
15.400673,894,3,0
15.605439,596,2,0
15.811084,596,2,0
16.016454,596,2,0
16.221587,596,2,0
16.427223,596,2,0
16.633053,596,2,0
16.838358,596,2,0
17.043023,596,2,0
17.248517,596,2,0
17.454080,596,2,0
17.658764,596,2,0
17.864846,596,2,0
18.069189,596,2,0
18.275628,596,2,0
18.482919,596,2,0
18.688740,596,2,0
18.893782,596,2,0
19.101221,596,2,0
19.307987,596,2,0
19.515488,596,2,0
19.721316,596,2,0
19.925083,596,2,0
20.129623,596,2,0
20.334837,596,2,0
20.539667,596,2,0
20.745794,596,2,0
20.952265,596,2,0
21.154439,596,2,0
21.362562,596,2,0
21.568463,596,2,0
21.775207,596,2,0
21.980540,596,2,0
22.185679,596,2,0
22.390305,596,2,0
22.594533,596,2,0
22.799393,596,2,0
23.004451,596,2,0
23.210582,596,2,0
23.417582,596,2,0
23.623214,596,2,0
23.827699,596,2,0
24.035556,1460,3,0
24.240454,596,2,0
24.446229,894,3,0
24.652976,596,2,0
24.857950,596,2,0
25.065169,596,2,0
25.270947,0,0,0
25.478582,0,0,0
25.683628,0,0,0
25.889273,0,0,0
26.105522,0,0,0
26.310848,0,0,0
26.515752,0,0,0
26.721298,0,0,0
26.926364,0,0,0
