t_send,seq,bytes
1764871076.457036,1,256
1764871076.459011,2,256
1764871076.461033,3,256
1764871076.463032,4,256
1764871076.465031,5,256
1764871076.467026,6,256
1764871076.469027,7,256
1764871076.471118,8,256
1764871076.473027,9,256
1764871076.475038,10,256
1764871076.477141,11,256
1764871076.479145,12,256
1764871076.481046,13,256
1764871076.483132,14,256
1764871076.485144,15,256
1764871076.487140,16,256
1764871076.489043,17,256
1764871076.491035,18,256
1764871076.493143,19,256
1764871076.495184,20,256
1764871076.497133,21,256
1764871076.499055,22,256
1764871076.501045,23,256
1764871076.503173,24,256
1764871076.505134,25,256
1764871076.507049,26,256
1764871076.509053,27,256
1764871076.511036,28,256
1764871076.513130,29,256
1764871076.515148,30,256
1764871076.517052,31,256
1764871076.519054,32,256
1764871076.521029,33,256
1764871076.523160,34,256
1764871076.525138,35,256
1764871076.527050,36,256
1764871076.529130,37,256
1764871076.531051,38,256
1764871076.533151,39,256
1764871076.535173,40,256
1764871076.537137,41,256
1764871076.539056,42,256
1764871076.541039,43,256
1764871076.543043,44,256
1764871076.545131,45,256
1764871076.547058,46,256
1764871076.549129,47,256
1764871076.551058,48,256
1764871076.553136,49,256
1764871076.555156,50,256
1764871076.557053,51,256
1764871076.559171,52,256
1764871076.561058,53,256
1764871076.563044,54,256
1764871076.565114,55,256
1764871076.567037,56,256
1764871076.569059,57,256
1764871076.571055,58,256
1764871076.573143,59,256
1764871076.575142,60,256
1764871076.577139,61,256
1764871076.579051,62,256
1764871076.581059,63,256
1764871076.583027,64,256
1764871076.585059,65,256
1764871076.587138,66,256
1764871076.589058,67,256
1764871076.591039,68,256
1764871076.593132,69,256
1764871076.595143,70,256
1764871076.597041,71,256
1764871076.599045,72,256
1764871076.601024,73,256
1764871076.603020,74,256
1764871076.605007,75,256
1764871076.607020,76,256
1764871076.609020,77,256
1764871076.611019,78,256
1764871076.613022,79,256
1764871076.615020,80,256
1764871076.617025,81,256
1764871076.619020,82,256
1764871076.621026,83,256
