t_send,seq,bytes
1764871076.458792,1,256
1764871076.462026,2,256
1764871076.465368,3,256
1764871076.468699,4,256
1764871076.472102,5,256
1764871076.475449,6,256
1764871076.478782,7,256
1764871076.482135,8,256
1764871076.485425,9,256
1764871076.488709,10,256
1764871076.492119,11,256
1764871076.495494,12,256
1764871076.498788,13,256
1764871076.502169,14,256
1764871076.505398,15,256
1764871076.508691,16,256
1764871076.512075,17,256
1764871076.515422,18,256
1764871076.518793,19,256
1764871076.522096,20,256
1764871076.525401,21,256
1764871076.528828,22,256
1764871076.532077,23,256
1764871076.535448,24,256
1764871076.538715,25,256
1764871076.542048,26,256
1764871076.545383,27,256
1764871076.548902,28,256
1764871076.552026,29,256
1764871076.555431,30,256
1764871076.558869,31,256
1764871076.562114,32,256
1764871076.565436,33,256
1764871076.568785,34,256
1764871076.572115,35,256
1764871076.575447,36,256
1764871076.578785,37,256
1764871076.582115,38,256
1764871076.585454,39,256
1764871076.588696,40,256
1764871076.592120,41,256
1764871076.595450,42,256
1764871076.598768,43,256
1764871076.602094,44,256
1764871076.605431,45,256
1764871076.608763,46,256
1764871076.612105,47,256
1764871076.615430,48,256
1764871076.618771,49,256
1764871076.622052,50,256
1764871076.625357,51,256
1764871076.628768,52,256
1764871076.632082,53,256
1764871076.635456,54,256
1764871076.638782,55,256
1764871076.642013,56,256
1764871076.645342,57,256
1764871076.648684,58,256
1764871076.652092,59,256
1764871076.655435,60,256
1764871076.658780,61,256
1764871076.662099,62,256
1764871076.665459,63,256
1764871076.668781,64,256
1764871076.672001,65,256
1764871076.675393,66,256
1764871076.678699,67,256
1764871076.681998,68,256
1764871076.685348,69,256
1764871076.688679,70,256
1764871076.692045,71,256
1764871076.695381,72,256
1764871076.698702,73,256
1764871076.701996,74,256
1764871076.705450,75,256
1764871076.708714,76,256
1764871076.712010,77,256
1764871076.715444,78,256
1764871076.718783,79,256
1764871076.722029,80,256
1764871076.725447,81,256
1764871076.728809,82,256
1764871076.732121,83,256
1764871076.735440,84,256
1764871076.738791,85,256
1764871076.742120,86,256
1764871076.745454,87,256
1764871076.748790,88,256
1764871076.752115,89,256
1764871076.755467,90,256
1764871076.758783,91,256
1764871076.762029,92,256
1764871076.765340,93,256
1764871076.768761,94,256
1764871076.772009,95,256
1764871076.775422,96,256
1764871076.778718,97,256
1764871076.782005,98,256
1764871076.785349,99,256
1764871076.788733,100,256
1764871076.792053,101,256
1764871076.795388,102,256
1764871076.798759,103,256
1764871076.802057,104,256
1764871076.805341,105,256
1764871076.808710,106,256
1764871076.811994,107,256
1764871076.815366,108,256
1764871076.818663,109,256
1764871076.821994,110,256
1764871076.825340,111,256
1764871076.828693,112,256
1764871076.831997,113,256
1764871076.835339,114,256
1764871076.838756,115,256
1764871076.842014,116,256
1764871076.845394,117,256
1764871076.848736,118,256
1764871076.852078,119,256
1764871076.855422,120,256
1764871076.858786,121,256
1764871076.861999,122,256
1764871076.865370,123,256
1764871076.868784,124,256
1764871076.872020,125,256
1764871076.875336,126,256
1764871076.878687,127,256
1764871076.882013,128,256
1764871076.885421,129,256
1764871076.888683,130,256
