t_send,seq,bytes
1765303572.835398,1,256
1765303572.836274,2,256
1765303572.842543,3,256
1765303572.842885,4,256
1765303572.848928,5,256
1765303572.849825,6,256
1765303572.851580,7,256
1765303572.852056,8,256
1765303572.854836,9,256
1765303572.857405,10,256
1765303572.859304,11,256
1765303572.869813,12,256
1765303572.875402,13,256
1765303572.877890,14,256
1765303572.880630,15,256
1765303572.883405,16,256
1765303572.885722,17,256
1765303572.890559,18,256
1765303572.892605,19,256
1765303572.893310,20,256
1765303572.901028,21,256
1765303572.906720,22,256
1765303572.907127,23,256
1765303572.907495,24,256
1765303572.909289,25,256
1765303572.920048,26,256
1765303572.926970,27,256
1765303572.929281,28,256
1765303572.943631,29,256
1765303572.948832,30,256
1765303572.950053,31,256
1765303572.950467,32,256
1765303572.959297,33,256
1765303572.960201,34,256
1765303572.963022,35,256
1765303572.963055,36,256
1765303572.966465,37,256
1765303572.967153,38,256
1765303572.968594,39,256
1765303572.972807,40,256
1765303572.977532,41,256
1765303572.980373,42,256
1765303572.986967,43,256
1765303573.012976,44,256
1765303573.020425,45,256
1765303573.021547,46,256
1765303573.021580,47,256
1765303573.022636,48,256
1765303573.058950,49,256
1765303573.060839,50,256
1765303573.067021,51,256
1765303573.067986,52,256
1765303573.068473,53,256
1765303573.078866,54,256
1765303573.081159,55,256
1765303573.087348,56,256
1765303573.088628,57,256
1765303573.093043,58,256
1765303573.099934,59,256
1765303573.102983,60,256
1765303573.106622,61,256
1765303573.108007,62,256
1765303573.114340,63,256
1765303573.115085,64,256
1765303573.115153,65,256
1765303573.116856,66,256
1765303573.118822,67,256
1765303573.128025,68,256
1765303573.130423,69,256
1765303573.131400,70,256
1765303573.135951,71,256
1765303573.142212,72,256
1765303573.143743,73,256
1765303573.148526,74,256
1765303573.148788,75,256
1765303573.154845,76,256
1765303573.155512,77,256
1765303573.159022,78,256
1765303573.165013,79,256
1765303573.166258,80,256
1765303573.171735,81,256
1765303573.173182,82,256
1765303573.175728,83,256
1765303573.176729,84,256
1765303573.181672,85,256
1765303573.186234,86,256
1765303573.189194,87,256
1765303573.203235,88,256
1765303573.204388,89,256
1765303573.219736,90,256
1765303573.255113,91,256
1765303573.266035,92,256
1765303573.276891,93,256
1765303573.285561,94,256
1765303573.286687,95,256
1765303573.295920,96,256
1765303573.300063,97,256
1765303573.301371,98,256
1765303573.307276,99,256
