t,backlog_bytes,backlog_pkts,dropped_total
0.027503,0,0,0
0.237187,0,0,0
0.450035,0,0,0
0.663689,0,0,0
0.877176,0,0,0
1.091866,0,0,0
1.306175,0,0,0
1.517790,0,0,0
1.728903,0,0,0
1.940209,0,0,0
2.150657,0,0,0
2.361784,0,0,0
2.574760,0,0,0
2.787192,0,0,0
2.999965,0,0,0
3.212559,0,0,0
3.424505,0,0,0
3.636841,0,0,0
3.849644,0,0,0
4.061163,0,0,0
4.274013,0,0,0
4.486033,0,0,0
4.697949,0,0,0
4.909735,0,0,0
5.122590,0,0,0
5.334015,0,0,0
5.546635,0,0,0
5.758858,0,0,0
5.970684,0,0,0
6.182673,0,0,0
6.394842,0,0,0
6.605599,0,0,0
6.817199,0,0,0
7.028437,0,0,0
7.241044,0,0,0
7.453501,0,0,0
7.664944,0,0,0
7.877929,0,0,0
8.091003,0,0,0
8.303086,0,0,0
8.515563,0,0,0
8.728443,0,0,0
8.940052,0,0,0
9.151175,0,0,0
9.362611,0,0,0
9.573288,0,0,0
9.786147,0,0,0
9.997278,0,0,0
10.209444,0,0,0
10.421206,0,0,0
10.633014,0,0,0
10.845123,0,0,0
11.057117,0,0,0
11.270203,0,0,0
11.481971,0,0,0
11.693117,0,0,0
11.904890,0,0,0
12.117064,0,0,0
12.329070,0,0,0
12.541115,0,0,0
12.752053,0,0,0
12.965057,0,0,0
13.177964,0,0,0
13.389136,0,0,0
13.602155,0,0,0
13.813996,0,0,0
14.024023,0,0,0
14.236617,0,0,0
14.448586,0,0,0
14.661012,0,0,0
14.873875,0,0,0
15.085780,0,0,0
15.296985,0,0,0
15.509066,0,0,0
15.722143,0,0,0
15.933925,0,0,0
16.146367,0,0,0
16.358140,0,0,0
16.571006,0,0,0
16.783852,0,0,0
16.995981,0,0,0
17.208919,0,0,0
17.420654,0,0,0
17.631741,0,0,0
17.844446,0,0,0
18.056325,0,0,0
18.268387,0,0,0
18.480505,0,0,0
18.691927,0,0,0
18.903194,0,0,0
19.115008,0,0,0
19.327160,0,0,0
19.539119,0,0,0
19.750415,0,0,0
19.962733,0,0,0
20.174975,0,0,0
20.387220,0,0,0
20.599896,0,0,0
20.811633,0,0,0
21.023813,0,0,0
21.235963,0,0,0
21.448178,0,0,0
21.660079,0,0,0
21.871575,0,0,0
22.082852,0,0,0
22.294507,0,0,0
22.506181,0,0,0
22.718731,0,0,0
22.929644,0,0,0
23.140159,0,0,0
23.352015,0,0,0
23.563009,0,0,0
23.775360,0,0,0
23.987936,0,0,0
24.200894,0,0,0
24.412510,0,0,0
24.624459,0,0,0
24.836077,0,0,0
25.046476,0,0,0
25.259666,0,0,0
25.472831,0,0,0
25.686163,0,0,0
25.899377,0,0,0
26.112408,0,0,0
26.325391,0,0,0
26.538989,0,0,0
26.751928,0,0,0
26.965261,0,0,0
27.178325,0,0,0
27.391266,0,0,0
27.613494,0,0,0
27.830967,0,0,0
28.045270,0,0,0
28.262258,0,0,0
28.472960,0,0,0
28.686894,0,0,0
28.900404,0,0,0
29.116076,0,0,0
29.330011,0,0,0
29.545089,0,0,0
29.758336,0,0,0
29.970212,0,0,0
30.186350,0,0,0
30.400039,0,0,0
30.611738,0,0,0
30.823370,0,0,0
31.038523,0,0,0
31.249974,0,0,0
31.460977,0,0,0
31.675030,0,0,0
31.890358,0,0,0
32.101641,0,0,0
32.312196,0,0,0
32.523073,0,0,0
32.734653,0,0,0
32.948082,0,0,0
33.158162,0,0,0
33.367628,0,0,0
33.578964,0,0,0
33.788924,0,0,0
34.002121,0,0,0
34.216540,0,0,0
34.429846,0,0,0
34.642822,0,0,0
34.854264,0,0,0
