t,backlog_bytes,backlog_pkts,dropped_total
0.072447,0,0,0
0.281321,0,0,0
0.492008,0,0,0
0.710833,0,0,0
0.923340,0,0,0
1.134819,0,0,0
1.352461,0,0,0
1.562877,0,0,0
1.775431,0,0,0
1.985887,0,0,0
2.196437,0,0,0
2.406793,0,0,0
2.619140,0,0,0
2.830020,0,0,0
3.042144,0,0,0
3.254507,0,0,0
3.466408,0,0,0
3.678008,0,0,0
3.890107,0,0,0
4.101974,0,0,0
4.314556,0,0,0
4.525894,0,0,0
4.737817,0,0,0
4.949106,0,0,0
5.159960,0,0,0
5.372873,0,0,0
5.584660,0,0,0
5.796725,0,0,0
6.006311,0,0,0
6.217859,0,0,0
6.431095,0,0,0
6.642578,0,0,0
6.855509,0,0,0
7.064990,0,0,0
7.277663,0,0,0
7.488346,0,0,0
7.698981,0,0,0
7.911842,0,0,0
8.124030,0,0,0
8.334993,0,0,0
8.545989,0,0,0
8.757151,0,0,0
8.969030,0,0,0
9.180527,0,0,0
9.390928,0,0,0
9.602463,0,0,0
9.811892,0,0,0
10.021580,0,0,0
10.229777,0,0,0
10.440128,0,0,0
10.651194,0,0,0
10.865155,0,0,0
11.076867,0,0,0
11.290021,0,0,0
11.504975,0,0,0
11.715300,0,0,0
11.926671,0,0,0
12.140541,0,0,0
12.351533,0,0,0
12.563725,0,0,0
12.774122,0,0,0
12.986666,0,0,0
13.200622,0,0,0
13.412730,0,0,0
13.625165,0,0,0
13.835255,0,0,0
14.046654,0,0,0
14.257567,0,0,0
14.470392,0,0,0
14.683285,0,0,0
14.897809,0,0,0
15.110135,0,0,0
15.319050,0,0,0
15.531879,0,0,0
15.744841,0,0,0
15.956389,0,0,0
16.169426,0,0,0
16.379880,0,0,0
16.593954,0,0,0
16.807402,0,0,0
17.018517,0,0,0
17.231900,0,0,0
17.441628,0,0,0
17.656153,0,0,0
17.864515,0,0,0
18.078956,0,0,0
18.291862,0,0,0
18.502685,0,0,0
18.713009,0,0,0
18.925046,0,0,0
19.137565,0,0,0
19.349552,0,0,0
19.563056,0,0,0
19.772652,0,0,0
19.985083,0,0,0
20.197298,0,0,0
20.409542,0,0,0
20.620549,0,0,0
20.830963,0,0,0
21.044463,0,0,0
21.257310,0,0,0
21.468735,0,0,0
21.681510,0,0,0
21.893587,0,0,0
22.106415,0,0,0
22.316517,0,0,0
22.529430,0,0,0
22.740775,0,0,0
22.951289,0,0,0
23.162035,0,0,0
23.374066,0,0,0
23.584683,0,0,0
23.797779,0,0,0
24.009855,0,0,0
24.222746,0,0,0
24.433646,0,0,0
24.647061,0,0,0
24.857300,0,0,0
25.068391,0,0,0
25.283469,0,0,0
25.497513,0,0,0
25.710816,0,0,0
25.924284,0,0,0
26.135911,0,0,0
26.347982,0,0,0
26.562359,0,0,0
26.775479,0,0,0
26.992649,0,0,0
27.203950,0,0,0
27.415744,0,0,0
27.667798,0,0,0
27.885028,0,0,0
28.105928,0,0,0
28.317706,0,0,0
28.527463,0,0,0
28.744513,0,0,0
28.952930,0,0,0
29.171640,0,0,0
29.378872,0,0,0
29.594554,0,0,0
29.803317,0,0,0
30.024684,0,0,0
30.238397,0,0,0
30.447978,0,0,0
30.662440,0,0,0
30.876546,0,0,0
31.093952,0,0,0
31.302001,0,0,0
31.519048,0,0,0
31.731289,0,0,0
31.950749,0,0,0
32.159520,0,0,0
32.374988,0,0,0
32.582969,0,0,0
32.795361,0,0,0
33.009349,0,0,0
33.221472,0,0,0
33.434549,0,0,0
33.645622,0,0,0
33.867172,0,0,0
34.087353,0,0,0
34.301764,0,0,0
34.509091,0,0,0
34.732090,0,0,0
34.941018,0,0,0
