t_send,seq,bytes
1765303845.748030,1,256
1765303845.756965,2,256
1765303845.757085,3,256
1765303845.757524,4,256
1765303845.761727,5,256
1765303845.762042,6,256
1765303845.764379,7,256
1765303845.765366,8,256
1765303845.776506,9,256
1765303845.781620,10,256
1765303845.782476,11,256
1765303845.783399,12,256
1765303845.787593,13,256
1765303845.798278,14,256
1765303845.801810,15,256
1765303845.813784,16,256
1765303845.826658,17,256
1765303845.828786,18,256
1765303845.833604,19,256
1765303845.843454,20,256
1765303845.843637,21,256
1765303845.845441,22,256
1765303845.852093,23,256
1765303845.856767,24,256
1765303845.857753,25,256
1765303845.858549,26,256
1765303845.858634,27,256
1765303845.860319,28,256
1765303845.863681,29,256
1765303845.867115,30,256
1765303845.874825,31,256
1765303845.883491,32,256
1765303845.891537,33,256
1765303845.894350,34,256
1765303845.897173,35,256
1765303845.899951,36,256
1765303845.904351,37,256
1765303845.906539,38,256
1765303845.911700,39,256
1765303845.913579,40,256
1765303845.917246,41,256
1765303845.918612,42,256
1765303845.918882,43,256
1765303845.921202,44,256
1765303845.921696,45,256
1765303845.924289,46,256
1765303845.928179,47,256
1765303845.928375,48,256
1765303845.933205,49,256
1765303845.933841,50,256
1765303845.934333,51,256
1765303845.937258,52,256
1765303845.942882,53,256
1765303845.945973,54,256
1765303845.951211,55,256
1765303845.960705,56,256
1765303845.968958,57,256
1765303845.975901,58,256
1765303845.976476,59,256
1765303845.982083,60,256
1765303845.985051,61,256
1765303845.988647,62,256
1765303845.994682,63,256
1765303846.002362,64,256
1765303846.004854,65,256
1765303846.005326,66,256
1765303846.008832,67,256
1765303846.014833,68,256
1765303846.017740,69,256
1765303846.017863,70,256
1765303846.021513,71,256
1765303846.021667,72,256
1765303846.028319,73,256
1765303846.032402,74,256
1765303846.033948,75,256
1765303846.038156,76,256
1765303846.039844,77,256
1765303846.040693,78,256
1765303846.047209,79,256
1765303846.048592,80,256
1765303846.060983,81,256
1765303846.062852,82,256
1765303846.065350,83,256
1765303846.069397,84,256
1765303846.070343,85,256
1765303846.071892,86,256
1765303846.075015,87,256
1765303846.077659,88,256
1765303846.078372,89,256
1765303846.083260,90,256
1765303846.083513,91,256
1765303846.084218,92,256
1765303846.086580,93,256
1765303846.088310,94,256
1765303846.088397,95,256
1765303846.089555,96,256
1765303846.097985,97,256
1765303846.100095,98,256
1765303846.102112,99,256
1765303846.105631,100,256
1765303846.106896,101,256
1765303846.108986,102,256
1765303846.115267,103,256
1765303846.115838,104,256
1765303846.117233,105,256
1765303846.118801,106,256
1765303846.125826,107,256
1765303846.126993,108,256
1765303846.127567,109,256
1765303846.136509,110,256
1765303846.145170,111,256
1765303846.146090,112,256
1765303846.146663,113,256
1765303846.147562,114,256
1765303846.152552,115,256
1765303846.153400,116,256
1765303846.158569,117,256
1765303846.164805,118,256
1765303846.164958,119,256
1765303846.173371,120,256
1765303846.174757,121,256
1765303846.178623,122,256
1765303846.182523,123,256
1765303846.188401,124,256
1765303846.198437,125,256
1765303846.201095,126,256
1765303846.204984,127,256
